window,lead,n,accuracy,f1_weighted,mae,rmse,r2,accuracy_baseline,f1_weighted_baseline,mae_baseline,rmse_baseline,r2_baseline
default,0,828,0.6835748792270532,0.6822109050034297,0.32971014492753625,0.5968921118901764,0.6224939570595762,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,1,828,0.6690821256038647,0.6653366526278742,0.3466183574879227,0.6187489325614176,0.5943409640267312,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,2,828,0.6642512077294686,0.6534272554477776,0.35144927536231885,0.6226404736445341,0.5892222380207592,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,3,828,0.6183574879227053,0.595201145636036,0.4033816425120773,0.6720794754015619,0.5213991184416323,0.6702898550724637,0.6593239876990165,0.37681159420289856,0.6898154902783927,0.4958054884117731
default,4,828,0.6159420289855072,0.5894770703235344,0.4178743961352657,0.6985146421615009,0.4830086733968435,0.6413043478260869,0.6239556338353359,0.4142512077294686,0.7331027305409318,0.43054173183563205
default,8,828,0.6207729468599034,0.5938647356632817,0.4323671497584541,0.7404790197864902,0.4190245983221954,0.5978260869565217,0.5695826281602017,0.4746376811594203,0.8008148024519071,0.3204891227072373
default,12,828,0.6268115942028986,0.6030356576599083,0.4311594202898551,0.7477825512549439,0.40750746480875877,0.5905797101449275,0.5533816025941645,0.5169082125603864,0.8681147322824312,0.20147874306839186
extended,0,184,0.7065217391304348,0.6992982925346931,0.34782608695652173,0.6756639246921762,0.3904401325130147,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,1,184,0.7282608695652174,0.7286707401273482,0.28804347826086957,0.566261577288309,0.5718567597412841,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,2,184,0.7228260869565217,0.7241791591761385,0.32065217391304346,0.6384423980690614,0.45575011831519174,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,3,184,0.6630434782608695,0.6671664167916042,0.358695652173913,0.6341718324267314,0.46300678340432244,0.6739130434782609,0.6648930649764633,0.3695652173913043,0.6756639246921762,0.3904401325130147
extended,4,184,0.657608695652174,0.6646140705027912,0.3967391304347826,0.7109393663377318,0.32513014671083773,0.7010869565217391,0.6976391274217362,0.33695652173913043,0.6426845869171515,0.44849345322606093
extended,8,184,0.6630434782608695,0.6625708220705243,0.3641304347826087,0.6468989572333266,0.4412367881369301,0.657608695652174,0.649796828263446,0.391304347826087,0.6993786061802353,0.34690014197823005
extended,12,184,0.625,0.6103046877577782,0.43478260869565216,0.7445453821540743,0.2598201609086608,0.657608695652174,0.649796828263446,0.391304347826087,0.6993786061802353,0.34690014197823005
