lead,n,f1_weighted,model
0,1380,0.7131415078322696,persistence
1,1380,0.7131415078322696,persistence
2,1380,0.7131415078322696,persistence
3,1380,0.7131415078322696,persistence
4,1380,0.6840836486682363,persistence
8,1380,0.676274855924964,persistence
12,1380,0.6343688310544436,persistence
0,1380,0.7361876837531431,xgboost
1,1380,0.7263492479005966,xgboost
2,1380,0.7121657000497617,xgboost
3,1380,0.7170434371782102,xgboost
4,1380,0.7032886347486879,xgboost
8,1380,0.6776574554714945,xgboost
12,1380,0.6428698637919379,xgboost
0,736,0.7041520737929458,busker_arch
1,736,0.7101361257426817,busker_arch
2,736,0.7159934466909739,busker_arch
3,736,0.6877782403534735,busker_arch
4,736,0.6582373109069899,busker_arch
8,736,0.6868842488805194,busker_arch
12,736,0.6405726077274302,busker_arch
0,1380,0.7320375927205853,random_forest
1,1380,0.727760796586468,random_forest
2,1380,0.7330476782117965,random_forest
3,1380,0.7214477751872876,random_forest
4,1380,0.7045519199533081,random_forest
8,1380,0.6721115676621631,random_forest
12,1380,0.6654946568790481,random_forest
0,1380,0.643351634075215,lstm
1,1380,0.6854864721392867,lstm
2,1380,0.6519375288040693,lstm
3,1380,0.6638365365255537,lstm
4,1380,0.6050632902077329,lstm
8,1380,0.6170720222163062,lstm
12,1380,0.6018376599561822,lstm
0,1380,0.43333860252584017,tgcn
1,1380,0.32637640137544743,tgcn
2,1380,0.27981521290797756,tgcn
3,1380,0.18837422302673545,tgcn
4,1380,0.235273117767338,tgcn
8,1380,0.36766800402571437,tgcn
12,1380,0.26221666561638096,tgcn
