lhz,lead,n,f1_weighted,model
agropastoral,0,75,0.6688825577714466,persistence
agropastoral,1,75,0.6688825577714466,persistence
agropastoral,2,75,0.6688825577714466,persistence
agropastoral,3,75,0.6688825577714466,persistence
agropastoral,4,75,0.7066666666666667,persistence
agropastoral,8,75,0.6912198912198912,persistence
agropastoral,12,75,0.5951985269632328,persistence
crop_farming,0,1005,0.7294340387939009,persistence
crop_farming,1,1005,0.7294340387939009,persistence
crop_farming,2,1005,0.7294340387939009,persistence
crop_farming,3,1005,0.7294340387939009,persistence
crop_farming,4,1005,0.7139129598327835,persistence
crop_farming,8,1005,0.7041959189399558,persistence
crop_farming,12,1005,0.6631643315945753,persistence
pastoral,0,300,0.6690296902410304,persistence
pastoral,1,300,0.6690296902410304,persistence
pastoral,2,300,0.6690296902410304,persistence
pastoral,3,300,0.6690296902410304,persistence
pastoral,4,300,0.5753515403972721,persistence
pastoral,8,300,0.5753177342275965,persistence
pastoral,12,300,0.5423877768076261,persistence
agropastoral,0,75,0.6442951251646903,xgboost
agropastoral,1,75,0.6657012068248023,xgboost
agropastoral,2,75,0.666351857475453,xgboost
agropastoral,3,75,0.6264024864024864,xgboost
agropastoral,4,75,0.6069880656977432,xgboost
agropastoral,8,75,0.5961514041514042,xgboost
agropastoral,12,75,0.7016422466422465,xgboost
crop_farming,0,1005,0.7532420222239484,xgboost
crop_farming,1,1005,0.7523012470701678,xgboost
crop_farming,2,1005,0.742920870747072,xgboost
crop_farming,3,1005,0.7435852640340764,xgboost
crop_farming,4,1005,0.7410083194218682,xgboost
crop_farming,8,1005,0.6964712206152807,xgboost
crop_farming,12,1005,0.6631842396819589,xgboost
pastoral,0,300,0.6740603782182729,xgboost
pastoral,1,300,0.6398527187672909,xgboost
pastoral,2,300,0.6037310192356065,xgboost
pastoral,3,300,0.635680698871575,xgboost
pastoral,4,300,0.5470915343915345,xgboost
pastoral,8,300,0.5771587433972755,xgboost
pastoral,12,300,0.5077002212545273,xgboost
agropastoral,0,40,0.75,busker_arch
agropastoral,1,40,0.8182440476190476,busker_arch
agropastoral,2,40,0.7734397163120568,busker_arch
agropastoral,3,40,0.7641176470588236,busker_arch
agropastoral,4,40,0.6823676323676324,busker_arch
agropastoral,8,40,0.6384049773755656,busker_arch
agropastoral,12,40,0.6535714285714286,busker_arch
crop_farming,0,536,0.7181470249680115,busker_arch
crop_farming,1,536,0.7275645352051113,busker_arch
crop_farming,2,536,0.7187857840820472,busker_arch
crop_farming,3,536,0.712003346987815,busker_arch
crop_farming,4,536,0.6808243477445537,busker_arch
crop_farming,8,536,0.68632002947643,busker_arch
crop_farming,12,536,0.6458363316711959,busker_arch
pastoral,0,160,0.6198441994247362,busker_arch
pastoral,1,160,0.602495104151342,busker_arch
pastoral,2,160,0.6514103103584494,busker_arch
pastoral,3,160,0.5629304919908467,busker_arch
pastoral,4,160,0.5089926396090351,busker_arch
pastoral,8,160,0.611812865497076,busker_arch
pastoral,12,160,0.5311371100164204,busker_arch
agropastoral,0,75,0.6441307189542484,random_forest
agropastoral,1,75,0.6441307189542484,random_forest
agropastoral,2,75,0.6441307189542484,random_forest
agropastoral,3,75,0.6707878787878786,random_forest
agropastoral,4,75,0.6613371711653498,random_forest
agropastoral,8,75,0.6209246417013408,random_forest
agropastoral,12,75,0.6088034188034188,random_forest
crop_farming,0,1005,0.7558303203014973,random_forest
crop_farming,1,1005,0.7497182600233223,random_forest
crop_farming,2,1005,0.7686211530184583,random_forest
crop_farming,3,1005,0.7473902494791143,random_forest
crop_farming,4,1005,0.7362100338350308,random_forest
crop_farming,8,1005,0.691222852529101,random_forest
crop_farming,12,1005,0.6902938142022689,random_forest
pastoral,0,300,0.6519464323748669,random_forest
pastoral,1,300,0.6593689660423329,random_forest
pastoral,2,300,0.6193541075425507,random_forest
pastoral,3,300,0.6369314750328194,random_forest
pastoral,4,300,0.5556513419447553,random_forest
pastoral,8,300,0.5511836734693877,random_forest
pastoral,12,300,0.5245657256914742,random_forest
agropastoral,0,75,0.5848828420256992,lstm
agropastoral,1,75,0.6515920209708846,lstm
agropastoral,2,75,0.5629447395396515,lstm
agropastoral,3,75,0.6561329652634,lstm
agropastoral,4,75,0.5439904225010608,lstm
agropastoral,8,75,0.48484193284193283,lstm
agropastoral,12,75,0.4854433296172426,lstm
crop_farming,0,1005,0.679513962167533,lstm
crop_farming,1,1005,0.7142491975897932,lstm
crop_farming,2,1005,0.6835170625537803,lstm
crop_farming,3,1005,0.6965546099425994,lstm
crop_farming,4,1005,0.6469255629720009,lstm
crop_farming,8,1005,0.6462017031051338,lstm
crop_farming,12,1005,0.6491579690053118,lstm
pastoral,0,300,0.542190628085365,lstm
pastoral,1,300,0.6035658880596467,lstm
pastoral,2,300,0.5850736581633779,lstm
pastoral,3,300,0.5670119700083733,lstm
pastoral,4,300,0.49255324376736564,lstm
pastoral,8,300,0.5693054498820048,lstm
pastoral,12,300,0.4712398314221307,lstm
agropastoral,0,75,0.49312661498708005,tgcn
agropastoral,1,75,0.4633628318584071,tgcn
agropastoral,2,75,0.11903453136011274,tgcn
agropastoral,3,75,0.40924287118977387,tgcn
agropastoral,4,75,0.42883838383838385,tgcn
agropastoral,8,75,0.2129612717740572,tgcn
agropastoral,12,75,0.4441441441441442,tgcn
crop_farming,0,1005,0.5200385812067798,tgcn
crop_farming,1,1005,0.3663214725846521,tgcn
crop_farming,2,1005,0.42810402016901167,tgcn
crop_farming,3,1005,0.18120120830916261,tgcn
crop_farming,4,1005,0.18163036111035988,tgcn
crop_farming,8,1005,0.5032447483810397,tgcn
crop_farming,12,1005,0.273122826670505,tgcn
pastoral,0,300,0.1746448087431694,tgcn
pastoral,1,300,0.1708542713567839,tgcn
pastoral,2,300,0.038335191378669635,tgcn
pastoral,3,300,0.17253731343283582,tgcn
pastoral,4,300,0.44954449152542375,tgcn
pastoral,8,300,0.12558678249020608,tgcn
pastoral,12,300,0.19232634016871505,tgcn
