zone_code,completeness_mean,completeness_climate,completeness_agriculture,completeness_economic,completeness_conflict,completeness_target_memory,n_features_scored,zone_name,dominant_livelihood_zone,completeness_min_cluster
ET0101,0.7170266285020384,0.9868176440763902,0.7632058287795993,0.44939740998577743,0.9363269185079591,0.9651639344262295,315,North Western Tigray,crop_farming,0.44939740998577743
ET0102,0.7566657992887501,0.9868176440763902,0.8324225865209471,0.526386705591736,0.9363269185079591,0.9651639344262295,315,Central Tigray,crop_farming,0.526386705591736
ET0103,0.7340966258999045,0.9868176440763902,0.814207650273224,0.4799386181600419,0.9363269185079591,0.9651639344262295,315,Eastern Tigray,crop_farming,0.4799386181600419
ET0104,0.7315638823835545,0.9898597262126078,0.8324225865209471,0.4702073508496145,0.9363269185079591,0.9651639344262295,315,Southern Tigray,crop_farming,0.4702073508496145
ET0105,0.6769190736403852,0.9868176440763902,0.7887067395264117,0.35972003892506926,0.9363269185079591,0.9651639344262295,315,Western Tigray,crop_farming,0.35972003892506926
ET0106,0.667117703183277,0.9868176440763902,0.5701275045537341,0.36552137136013174,0.9363269185079591,0.9651639344262295,315,South Eastern Tigray,crop_farming,0.36552137136013174
ET0107,0.7147714459189869,0.9868176440763902,0.5555555555555556,0.4701324949472266,0.9363269185079591,0.9651639344262295,315,Mekelle Tigray,crop_farming,0.4701324949472266
ET0201,0.7065487032700147,0.9898597262126078,0.5956284153005464,0.4454300471592186,0.9363269185079591,0.9651639344262295,315,Awsi-Zone 1,pastoral,0.4454300471592186
ET0202,0.6525457541850985,0.8867669427074532,0.5628415300546448,0.4014522045063253,0.9363269185079591,0.9651639344262295,315,Kilbati-Zone 2,pastoral,0.4014522045063253
ET0203,0.6923930956717843,0.9898597262126078,0.581056466302368,0.4166853806422636,0.9363269185079591,0.9651639344262295,315,Gabi-Zone 3,pastoral,0.4166853806422636
ET0204,0.651348772660248,0.8867669427074532,0.5555555555555556,0.39976794670259747,0.9363269185079591,0.9651639344262295,315,Fanti-Zone 4,pastoral,0.39976794670259747
ET0205,0.6548356318848122,0.8867669427074532,0.5701275045537341,0.4054944232352721,0.9363269185079591,0.9651639344262295,315,Hari-Zone 5,pastoral,0.4054944232352721
