zone_code,n_test_obs,n_unique_true_classes,trivial_constant_target,excluded,f1_weighted,balanced_accuracy
ET0101,63,3,False,False,0.5537240537240538,0.3523809523809524
ET0102,63,3,False,False,0.546384479717813,0.5714285714285714
ET0103,63,4,False,False,0.46710239651416124,0.32857142857142857
ET0104,63,4,False,False,0.46577444235980825,0.4196428571428572
ET0105,63,4,False,False,0.44502164502164504,0.33035714285714285
ET0106,63,4,False,False,0.31974637681159424,0.275
ET0107,63,3,False,False,0.57994301994302,0.5634920634920635
ET0201,63,2,False,False,0.6237018068003983,0.6571428571428571
ET0202,63,3,False,False,0.3664302600472813,0.29523809523809524
ET0203,63,3,False,False,0.5692630220932108,0.44126984126984126
ET0204,63,3,False,False,0.3985042735042735,0.36904761904761907
ET0205,63,2,False,False,0.6285403050108932,0.44387755102040816
ET0301,63,3,False,False,0.45037037037037037,0.3333333333333333
ET0302,63,2,False,False,0.7069871629189282,0.7261904761904763
ET0303,63,4,False,False,0.29150838873061097,0.29166666666666663
ET0304,63,3,False,False,0.4564459930313589,0.4365079365079365
ET0305,63,2,False,False,0.6623931623931625,0.7142857142857143
ET0306,63,1,True,False,1.0,1.0
ET0307,63,1,True,False,1.0,1.0
ET0308,63,3,False,False,0.49643966547192353,0.46428571428571425
ET0309,63,1,True,False,1.0,1.0
ET0310,63,3,False,False,0.364021164021164,0.36904761904761907
ET0311,63,1,True,False,0.9838709677419355,0.9682539682539683
ET0312,63,1,True,False,1.0,1.0
ET0401,63,1,True,False,1.0,1.0
ET0402,63,1,True,False,1.0,1.0
ET0403,63,1,True,False,1.0,1.0
ET0404,63,1,True,False,1.0,1.0
ET0405,63,1,True,False,1.0,1.0
ET0406,63,2,False,False,0.796144882885018,0.7142857142857142
ET0407,63,2,False,False,0.7155271355959993,0.5408163265306123
ET0408,63,2,False,False,0.6993282176687186,0.7
ET0409,63,2,False,False,0.6320898308492002,0.625
ET0410,63,2,False,False,0.6037799813543521,0.6
ET0411,63,2,False,False,0.6564729867482161,0.46938775510204084
ET0412,63,3,False,False,0.5090020818294992,0.5238095238095238
ET0413,63,1,True,False,1.0,1.0
ET0414,63,2,False,False,0.7953964194373402,0.7380952380952381
ET0415,63,2,False,False,0.5042735042735043,0.4642857142857143
ET0416,63,1,True,False,1.0,1.0
ET0417,63,2,False,False,0.5415181518151816,0.48809523809523814
ET0418,63,1,True,False,1.0,1.0
ET0419,63,1,True,False,1.0,1.0
ET0420,63,1,True,False,1.0,1.0
ET0421,63,2,False,False,0.6236338797814208,0.7023809523809523
ET0501,63,2,False,False,0.6313729459796875,0.5408163265306122
ET0502,63,2,False,False,0.7953216374269007,0.45535714285714285
ET0503,63,2,False,False,0.5422647527910686,0.47619047619047616
ET0504,63,1,True,False,1.0,1.0
ET0505,63,2,False,False,0.5555555555555556,0.35714285714285715
ET0506,63,2,False,False,0.8194538990999168,0.5267857142857143
ET0507,63,3,False,False,0.4044943820224719,0.2142857142857143
ET0508,63,3,False,False,0.5856209150326798,0.5595238095238095
ET0509,63,3,False,False,0.6134366925064599,0.4476190476190476
ET0510,63,2,False,False,0.8286252354048964,0.49107142857142855
ET0511,63,2,False,False,0.7833333333333333,0.7142857142857143
ET0602,63,2,False,False,0.5787545787545787,0.5119047619047619
ET0603,63,1,True,False,1.0,1.0
ET0604,63,2,False,False,0.8611764705882352,0.8928571428571428
ET0605,63,1,True,False,1.0,1.0
ET0701,63,2,False,False,0.7532917532917534,0.7738095238095237
ET0702,63,2,False,False,0.5154369440083726,0.45238095238095233
ET0703,63,3,False,False,0.4897959183673469,0.2857142857142857
ET0705,63,3,False,False,0.5128205128205128,0.20408163265306123
ET0706,63,2,False,False,0.6564729867482161,0.46938775510204084
ET0707,63,2,False,False,0.8795084658318091,0.7755102040816326
ET0710,63,3,False,False,0.4390166028097062,0.42460317460317465
ET0712,63,2,False,False,0.460093896713615,0.49642857142857144
ET0713,63,2,False,False,0.579520697167756,0.6321428571428571
ET0714,63,2,False,False,0.82997557997558,0.6938775510204082
ET0715,63,2,False,False,0.6425935388633395,0.45408163265306123
ET0716,63,2,False,False,0.7777777777777778,0.4375
ET0720,63,2,False,False,0.6803493983263087,0.49489795918367346
ET0721,63,2,False,False,0.5136054421768708,0.45238095238095233
ET0722,63,2,False,False,0.29902979902979904,0.3571428571428571
ET0723,63,2,False,False,0.4060417048859536,0.4035714285714286
ET0724,63,1,True,False,1.0,1.0
ET1101,63,1,True,False,1.0,1.0
ET1102,63,1,True,False,1.0,1.0
ET1103,63,1,True,False,1.0,1.0
ET1104,63,3,False,False,0.3498467259661289,0.32936507936507936
ET1105,63,1,True,False,1.0,1.0
ET1106,63,1,True,False,1.0,1.0
ET1201,63,1,True,False,0.8648648648648649,0.7619047619047619
ET1202,63,1,True,False,0.9411764705882353,0.8888888888888888
ET1203,63,1,True,False,1.0,1.0
ET1204,63,1,True,False,1.0,1.0
ET1301,63,1,True,False,1.0,1.0
ET1401,63,1,True,False,1.0,1.0
ET1501,63,2,False,False,0.08417849898580122,0.5178571428571429
ET1502,63,2,False,False,0.6245874587458746,0.5595238095238095
ET1600,63,2,False,False,0.6383458646616541,0.5595238095238095
