zone_code,n_test_obs,n_unique_true_classes,trivial_constant_target,excluded,f1_weighted,balanced_accuracy
ET0101,105,3,False,False,0.7428571428571429,0.4632034632034632
ET0102,105,3,False,False,0.7322751322751322,0.5584415584415584
ET0103,105,3,False,False,0.6933057637632463,0.45021645021645024
ET0104,105,3,False,False,0.6836996336996338,0.43001443001443
ET0105,105,3,False,False,0.5520550038197097,0.6428571428571429
ET0106,105,3,False,False,0.6768158777753981,0.4350649350649351
ET0107,105,3,False,False,0.47431457431457424,0.42970521541950113
ET0201,105,2,False,False,0.6277962242671473,0.6111111111111112
ET0202,105,2,False,False,0.8767676767676768,0.4744897959183674
ET0203,105,3,False,False,0.527596098680436,0.43333333333333335
ET0204,105,2,False,False,0.8032329988851727,0.5576923076923077
ET0205,105,2,False,False,0.6033333333333334,0.47889610389610393
ET0301,105,3,False,False,0.4344125690582384,0.45034013605442175
ET0302,105,2,False,False,0.6316326530612245,0.6785714285714286
ET0303,105,3,False,False,0.31541601582838696,0.30952380952380953
ET0304,105,3,False,False,0.4589834856501523,0.369047619047619
ET0305,105,2,False,False,0.5324074074074074,0.6071428571428571
ET0306,105,1,True,False,1.0,1.0
ET0307,105,1,True,False,1.0,1.0
ET0308,105,2,False,False,0.6237095859330686,0.6071428571428572
ET0309,105,1,True,False,1.0,1.0
ET0310,105,3,False,False,0.3654320987654321,0.3619047619047619
ET0311,105,1,True,False,0.9655172413793104,0.9333333333333333
ET0312,105,1,True,False,1.0,1.0
ET0401,105,1,True,False,1.0,1.0
ET0402,105,1,True,False,1.0,1.0
ET0403,105,1,True,False,1.0,1.0
ET0404,105,1,True,False,1.0,1.0
ET0405,105,1,True,False,1.0,1.0
ET0406,105,2,False,False,0.732564330079858,0.6373626373626373
ET0407,105,2,False,False,0.45137025570462097,0.5242346938775511
ET0408,105,2,False,False,0.6935757575757577,0.7015306122448979
ET0409,105,2,False,False,0.5645258198146919,0.5428571428571428
ET0410,105,2,False,False,0.5568878718535469,0.5555555555555556
ET0411,105,2,False,False,0.7333333333333333,0.4230769230769231
ET0412,105,2,False,False,0.8583762707143852,0.7857142857142857
ET0413,105,1,True,False,1.0,1.0
ET0414,105,2,False,False,0.7059360730593607,0.6558441558441559
ET0415,105,3,False,False,0.45228758169934646,0.3119047619047619
ET0416,105,1,True,False,1.0,1.0
ET0417,105,2,False,False,0.4703703703703704,0.4920634920634921
ET0418,105,1,True,False,1.0,1.0
ET0419,105,1,True,False,1.0,1.0
ET0420,105,1,True,False,1.0,1.0
ET0421,105,2,False,False,0.5291793033728518,0.6642857142857143
ET0501,105,2,False,False,0.639291465378422,0.6038961038961039
ET0502,105,2,False,False,0.7581461242663429,0.4697802197802198
ET0503,105,2,False,False,0.7223990208078335,0.5476190476190476
ET0504,105,1,True,False,1.0,1.0
ET0505,105,2,False,False,0.7495495495495496,0.43956043956043955
ET0506,105,2,False,False,0.8914746843680854,0.5459183673469388
ET0507,105,2,False,False,0.7442028985507247,0.4340659340659341
ET0508,105,2,False,False,0.8666666666666667,0.7115384615384616
ET0509,105,2,False,False,0.8866666666666666,0.4846938775510204
ET0510,105,2,False,False,0.7854166666666667,0.47802197802197804
ET0511,105,1,True,False,1.0,1.0
ET0602,105,2,False,False,0.7360153256704981,0.5595238095238095
ET0603,105,1,True,False,1.0,1.0
ET0604,105,2,False,False,0.9194228634850167,0.9464285714285714
ET0605,105,1,True,False,1.0,1.0
ET0701,105,2,False,False,0.6484103328365622,0.6571428571428571
ET0702,105,2,False,False,0.537770128131574,0.4785714285714286
ET0703,105,3,False,False,0.4338056680161943,0.2962962962962963
ET0705,105,3,False,False,0.5439080459770115,0.32323232323232326
ET0706,105,3,False,False,0.5872134038800706,0.32900432900432897
ET0707,105,2,False,False,0.8258974024278813,0.7619047619047619
ET0710,105,3,False,False,0.4661154116819141,0.37857142857142856
ET0712,105,2,False,False,0.48738367658276127,0.5038265306122449
ET0713,105,2,False,False,0.6282709708975299,0.6571428571428571
ET0714,105,2,False,False,0.7727272727272728,0.6011904761904762
ET0715,105,2,False,False,0.7561904761904762,0.46428571428571425
ET0716,105,2,False,False,0.6761904761904762,0.49404761904761907
ET0720,105,3,False,False,0.6954777982402292,0.32936507936507936
ET0721,105,2,False,False,0.5681481481481481,0.5931122448979591
ET0722,105,2,False,False,0.4718810601163542,0.4642857142857143
ET0723,105,2,False,False,0.43299118902715966,0.4642857142857143
ET0724,105,1,True,False,1.0,1.0
ET1101,105,1,True,False,1.0,1.0
ET1102,105,1,True,False,1.0,1.0
ET1103,105,1,True,False,1.0,1.0
ET1104,105,3,False,False,0.4573451602863368,0.3678571428571428
ET1105,105,1,True,False,1.0,1.0
ET1106,105,1,True,False,1.0,1.0
ET1201,105,1,True,False,0.9119170984455959,0.8380952380952381
ET1202,105,1,True,False,0.9552238805970148,0.9142857142857143
ET1203,105,1,True,False,1.0,1.0
ET1204,105,1,True,False,1.0,1.0
ET1301,105,2,False,False,0.7275517321553127,0.5178571428571429
ET1401,105,1,True,False,1.0,1.0
ET1501,105,2,False,False,0.14985486211901305,0.5408163265306123
ET1502,105,2,False,False,0.6463712267180475,0.5146103896103896
ET1600,105,2,False,False,0.675993640699523,0.5438311688311688
