subject,k_pct,k_n,lead,n,baseline_f1,top_f1,top_degradation,bottom_f1,bottom_degradation
XGBoost,10,22,0.0,1380.0,0.7361876837531431,0.6531571094389075,0.08303057431423566,0.7361876837531431,0.0
XGBoost,10,22,1.0,1380.0,0.7263492479005966,0.5597389945761448,0.16661025332445178,0.7263492479005966,0.0
XGBoost,10,22,2.0,1380.0,0.7121657000497617,0.5462980765563255,0.1658676234934362,0.7121657000497617,0.0
XGBoost,10,22,3.0,1380.0,0.7170434371782102,0.5722038059473565,0.14483963123085364,0.7170434371782102,0.0
XGBoost,10,22,4.0,1380.0,0.7032886347486879,0.48511634597418546,0.2181722887745024,0.7032886347486879,0.0
XGBoost,10,22,8.0,1380.0,0.6776574554714945,0.4945038654680446,0.18315359000344988,0.6776574554714945,0.0
XGBoost,10,22,12.0,1380.0,0.6428698637919379,0.5071558824142085,0.1357139813777294,0.6428698637919379,0.0
RandomForest,10,22,0.0,1380.0,0.7320375927205853,0.7126126941419806,0.019424898578604743,0.7320375927205853,0.0
RandomForest,10,22,1.0,1380.0,0.727760796586468,0.7155310048410659,0.012229791745402063,0.727760796586468,0.0
RandomForest,10,22,2.0,1380.0,0.7330476782117965,0.7168957787527809,0.01615189945901563,0.7330476782117965,0.0
RandomForest,10,22,3.0,1380.0,0.7214477751872876,0.7099652311801662,0.011482544007121454,0.7214477751872876,0.0
RandomForest,10,22,4.0,1380.0,0.7045519199533081,0.6886709560353577,0.015880963917950464,0.7045519199533081,0.0
RandomForest,10,22,8.0,1380.0,0.6721115676621631,0.6870036941959742,-0.014892126533811112,0.6721115676621631,0.0
RandomForest,10,22,12.0,1380.0,0.6654946568790481,0.6384155367187255,0.027079120160322545,0.6654946568790481,0.0
Ensemble,10,33,0.0,1380.0,0.7226177195934625,0.7219109051152498,0.0007068144782127472,0.7226177195934625,0.0
Ensemble,10,33,1.0,1380.0,0.7341351559141134,0.7263534496067259,0.007781706307387504,0.7348280959907022,-0.0006929400765888216
Ensemble,10,33,2.0,1380.0,0.7296251704432176,0.7238492746955574,0.005775895747660242,0.730140364935693,-0.0005151944924753904
Ensemble,10,33,3.0,1380.0,0.7285432947001754,0.7279921898502753,0.0005511048499001747,0.72804430078114,0.0004989939190354065
Ensemble,10,33,4.0,1380.0,0.7069547155491197,0.7122766494889258,-0.005321933939806067,0.7055970186204424,0.0013576969286772655
Ensemble,10,33,8.0,1380.0,0.6844266894860678,0.6840390069068899,0.00038768257917787263,0.6866784780384574,-0.002251788552389611
Ensemble,10,33,12.0,1380.0,0.666789887296546,0.6619578724245431,0.00483201487200291,0.663113964586943,0.00367592270960293
XGBoost,25,54,0.0,1380.0,0.7361876837531431,0.63938332128447,0.09680436246867319,0.7361876837531431,0.0
XGBoost,25,54,1.0,1380.0,0.7263492479005966,0.5932716044260883,0.13307764347450834,0.7263492479005966,0.0
XGBoost,25,54,2.0,1380.0,0.7121657000497617,0.5903565358924133,0.12180916415734833,0.7121657000497617,0.0
XGBoost,25,54,3.0,1380.0,0.7170434371782102,0.5583351041512473,0.15870833302696286,0.7170434371782102,0.0
XGBoost,25,54,4.0,1380.0,0.7032886347486879,0.5078207812845226,0.1954678534641653,0.7032886347486879,0.0
XGBoost,25,54,8.0,1380.0,0.6776574554714945,0.503055986859602,0.17460146861189252,0.6776574554714945,0.0
XGBoost,25,54,12.0,1380.0,0.6428698637919379,0.5063694179380342,0.13650044585390364,0.6428698637919379,0.0
RandomForest,25,54,0.0,1380.0,0.7320375927205853,0.714278000049488,0.01775959267109728,0.7320375927205853,0.0
RandomForest,25,54,1.0,1380.0,0.727760796586468,0.714626635095294,0.013134161491173968,0.727760796586468,0.0
RandomForest,25,54,2.0,1380.0,0.7330476782117965,0.7140958363764773,0.018951841835319172,0.7330476782117965,0.0
RandomForest,25,54,3.0,1380.0,0.7214477751872876,0.715742052874572,0.0057057223127156,0.7214477751872876,0.0
RandomForest,25,54,4.0,1380.0,0.7045519199533081,0.6823970117884696,0.02215490816483856,0.7045519199533081,0.0
RandomForest,25,54,8.0,1380.0,0.6721115676621631,0.6845838936537966,-0.012472325991633504,0.6721115676621631,0.0
RandomForest,25,54,12.0,1380.0,0.6654946568790481,0.6404269267318987,0.02506773014714936,0.6654946568790481,0.0
Ensemble,25,82,0.0,1380.0,0.7226177195934625,0.7035210327240545,0.01909668686940802,0.7269639581139701,-0.004346238520507528
Ensemble,25,82,1.0,1380.0,0.7341351559141134,0.6989729362482747,0.03516221966583866,0.7362675982690317,-0.0021324423549182736
Ensemble,25,82,2.0,1380.0,0.7296251704432176,0.7064939188656286,0.023131251577588996,0.7319451450574223,-0.002319974614204634
Ensemble,25,82,3.0,1380.0,0.7285432947001754,0.7101820125739171,0.018361282126258316,0.7295115765173553,-0.0009682818171798946
Ensemble,25,82,4.0,1380.0,0.7069547155491197,0.6966672177809291,0.010287497768190601,0.7062740871146941,0.000680628434425623
Ensemble,25,82,8.0,1380.0,0.6844266894860678,0.6880391941907261,-0.003612504704658348,0.6869229460903462,-0.002496256604278435
Ensemble,25,82,12.0,1380.0,0.666789887296546,0.6463700065904314,0.020419880706114557,0.6725115394332477,-0.005721652136701727
XGBoost,50,108,0.0,1380.0,0.7361876837531431,0.6562703569719976,0.07991732678114549,0.737983239434998,-0.0017955556818548546
XGBoost,50,108,1.0,1380.0,0.7263492479005966,0.6259845515656416,0.10036469633495504,0.7266808989766536,-0.0003316510760569269
XGBoost,50,108,2.0,1380.0,0.7121657000497617,0.6509772067177758,0.06118849333198584,0.7054063111474251,0.006759388902336516
XGBoost,50,108,3.0,1380.0,0.7170434371782102,0.5129143584587873,0.20412907871942287,0.716264408037807,0.0007790291404031757
XGBoost,50,108,4.0,1380.0,0.7032886347486879,0.49653725385113745,0.2067513808975504,0.7026542873856282,0.000634347363059673
XGBoost,50,108,8.0,1380.0,0.6776574554714945,0.5009440184412841,0.17671343703021036,0.6758119342798629,0.001845521191631616
XGBoost,50,108,12.0,1380.0,0.6428698637919379,0.5071377338824857,0.13573212990945216,0.6409786612821273,0.0018912025098105634
RandomForest,50,108,0.0,1380.0,0.7320375927205853,0.7171615572444644,0.01487603547612093,0.7297707837359874,0.0022668089845979678
RandomForest,50,108,1.0,1380.0,0.727760796586468,0.716952812396575,0.010807984189892927,0.7278163910431897,-5.559445672176366e-05
RandomForest,50,108,2.0,1380.0,0.7330476782117965,0.7177379160159807,0.015309762195815813,0.7323354739180628,0.0007122042937337536
RandomForest,50,108,3.0,1380.0,0.7214477751872876,0.7103727820118348,0.011074993175452796,0.7212208841363901,0.00022689105089757078
RandomForest,50,108,4.0,1380.0,0.7045519199533081,0.6863620759141345,0.018189844039173675,0.7022120730495837,0.002339846903724463
RandomForest,50,108,8.0,1380.0,0.6721115676621631,0.6805390028588024,-0.008427435196639355,0.6712541620332645,0.0008574056288985776
RandomForest,50,108,12.0,1380.0,0.6654946568790481,0.6348978461761368,0.030596810702911315,0.6673267984085416,-0.001832141529493514
Ensemble,50,163,0.0,1380.0,0.7226177195934625,0.7064916097957287,0.01612610979773388,0.7242498050567214,-0.001632085463258881
Ensemble,50,163,1.0,1380.0,0.7341351559141134,0.6981938752203841,0.03594128069372926,0.7267934272809327,0.007341728633180722
Ensemble,50,163,2.0,1380.0,0.7296251704432176,0.6963306682557142,0.033294502187503405,0.7300579600430771,-0.0004327895998594844
Ensemble,50,163,3.0,1380.0,0.7285432947001754,0.6937080484388168,0.03483524626135859,0.7311234627261561,-0.0025801680259807114
Ensemble,50,163,4.0,1380.0,0.7069547155491197,0.6743715915671257,0.03258312398199403,0.6985052404990432,0.008449475050076538
Ensemble,50,163,8.0,1380.0,0.6844266894860678,0.6973565399175734,-0.01292985043150563,0.6879558782114954,-0.0035291887254276233
Ensemble,50,163,12.0,1380.0,0.666789887296546,0.6484190285114755,0.0183708587850705,0.6605177704053853,0.006272116891160695
