,combined_rank_percentile
headline_cpi_yoy_change_lag12,0.9719626168224299
headline_cpi_yoy_change_lag3,0.9384735202492211
headline_cpi_yoy_change,0.9373052959501558
ipc_lag1,0.9314641744548287
wheat_price_etb_lag6,0.9190031152647975
headline_cpi_lag12,0.9135514018691588
headline_cpi_yoy_change_lag1,0.9131619937694704
headline_cpi_yoy_change_lag6,0.9116043613707165
wheat_price_etb_lag3,0.9077102803738317
ipc_mean12,0.9003115264797508
headline_cpi_lag6,0.8964174454828661
ipc_lag4,0.8886292834890965
headline_cpi,0.8847352024922118
wheat_price_etb_lag1,0.8835669781931463
wheat_price_etb,0.8738317757009346
wheat_price_etb_lag12,0.8613707165109035
exchange_rate_yoy_change,0.8605919003115265
food_cpi_yoy_change,0.85202492211838
headline_cpi_lag1,0.8395638629283488
food_cpi_lag1,0.8302180685358256
glofas_exceed_20yr_lead1,0.8255451713395638
exchange_rate_yoy_change_lag12,0.8235981308411215
wheat_price_index_lag3,0.8216510903426791
exchange_rate_yoy_change_lag6,0.8212616822429906
food_cpi,0.8200934579439252
exchange_rate_yoy_change_lag1,0.808411214953271
exchange_rate_lag3,0.807632398753894
season_national_belg_meher,0.8060747663551402
idps_ethiopia,0.8021806853582554
seasonal_precip_prob_near_lead1,0.8006230529595015
exchange_rate_lag12,0.8006230529595015
headline_cpi_lag3,0.7978971962616823
spi_24,0.7975077881619937
exchange_rate,0.7873831775700935
wheat_price_index_lag6,0.7873831775700935
food_cpi_lag6,0.7866043613707165
ndvi_anomaly_lag3,0.7850467289719626
seasonal_precip_prob_near_lead3,0.7819314641744548
ndvi_cropland_anomaly_lag6,0.7757009345794392
spi_12,0.7694704049844237
wheat_price_index_lag1,0.7683021806853583
sorghum_price_etb_lag3,0.7671339563862929
maize_price_etb_lag1,0.7663551401869159
seasonal_precip_prob_above_lead3,0.7663551401869159
maize_price_etb_lag6,0.764018691588785
ipc_lag8,0.7624610591900312
maize_price_etb_lag12,0.7601246105919003
months_since_lean_start,0.7593457943925234
wet_days,0.7570093457943925
wheat_price_index_lag12,0.7542834890965733
ndvi_rangeland_anomaly,0.7538940809968847
food_cpi_lag3,0.7472741433021807
wheat_price_index,0.7453271028037383
seasonal_precip_prob_below_lead3,0.7445482866043613
maize_price_etb_lag3,0.7422118380062306
sorghum_price_etb_lag6,0.7414330218068536
seasonal_precip_prob_above_lead1,0.7414330218068536
headline_cpi_chainlinked_lag12,0.7320872274143302
