,mean_abs_shap
ipc_lag1,0.23907477747323191
months_since_lean_start,0.06934982256600428
ipc_mean12,0.03897456773950317
ipc_lag8,0.023041971158413495
ha_share_mean12,0.018905424271046342
ha_share_lag1,0.014806578641147464
exchange_rate_yoy_change_lag12,0.013933338279113828
ipc_lag4,0.013740028362399188
headline_cpi_yoy_change_lag12,0.013501385926376995
food_cpi_yoy_change,0.010827622309653335
headline_cpi_yoy_change,0.010559014368471994
exchange_rate_yoy_change,0.009705959128419856
exchange_rate_yoy_change_lag1,0.008639246608861676
food_cpi_yoy_change_lag1,0.006982241979107742
headline_cpi_yoy_change_lag1,0.006813718094384185
headline_cpi_yoy_change_lag3,0.00677443905307675
season_somali_gu_deyr,0.006450053252806271
ha_share_lag8,0.005887555072278021
maize_yield,0.005813467695096717
food_cpi_yoy_change_lag6,0.005741818236435652
headline_cpi_yoy_change_lag6,0.005334660164742142
exchange_rate_yoy_change_lag6,0.004633289068414185
total_asylum_seekers_hosted,0.004401289672874461
total_refugees_hosted_yoy_change,0.004364273472066948
wheat_yield,0.00428606471562593
food_cpi_yoy_change_lag3,0.004251631142833105
exchange_rate_yoy_change_lag3,0.004158921903389681
gdp_per_capita_yoy_change,0.0041203332193253134
food_cpi_yoy_change_lag12,0.003936164635558003
pct_pastoral,0.0038380337924964997
ha_share_lag4,0.003674397796880969
pct_crop_farming,0.003663154838218333
total_asylum_seekers_hosted_yoy_change,0.003375715923323373
sorghum_yield,0.0026766172569426716
maize_yield_anomaly,0.0025310888317565737
sorghum_yield_anomaly,0.002520302570875934
months_since_harvest_start,0.0024898754199140912
teff_yield,0.0023827660507327398
headline_cpi_lag12,0.002364757286971643
headline_cpi_chainlinked_lag12,0.0022959321657973946
sorghum_price_etb_lag6,0.0022718241895256573
pct_agropastoral,0.0020929982544098374
wheat_price_etb_lag3,0.0020545857305968255
is_lean_season,0.001912271141496059
maize_price_index_lag12,0.001815515355205847
sorghum_price_etb_lag3,0.0017864580421560496
teff_yield_anomaly,0.00178294041423667
wheat_price_etb_lag12,0.0017512735482286634
headline_cpi_chainlinked_lag6,0.001718766256990584
headline_cpi_lag6,0.0017047620135626107
season_national_belg_meher,0.0016090530352014967
food_cpi_lag1,0.0014853551477849026
exchange_rate_lag12,0.0014744460411939193
exchange_rate_lag3,0.0014240890069527514
sorghum_price_etb_lag12,0.0013943054630462836
maize_price_etb_lag12,0.00139415860991495
wheat_price_etb_lag6,0.0013872871395977074
food_cpi_chainlinked,0.0013375200737827035
headline_cpi_chainlinked_lag1,0.0013303746288363125
headline_cpi_lag1,0.001278679158948835
food_cpi_chainlinked_lag6,0.0012558448056578344
food_cpi_chainlinked_lag1,0.0012517831228647611
food_cpi,0.001249946835498873
wheat_price_etb,0.0012330335500092572
food_cpi_lag3,0.0012058085869081072
wheat_price_etb_lag1,0.001178661812426375
headline_cpi,0.0011778636681635771
food_cpi_lag6,0.0011168977619518976
acled_fatalities_political_violence,0.0011108196827853357
food_cpi_chainlinked_lag12,0.0010866939339700442
acled_fatalities_political_violence_lag1,0.001084283564481631
exchange_rate,0.0010684519652452021
wheat_yield_anomaly,0.0010423465209984327
food_cpi_chainlinked_lag3,0.0010110753845210937
acled_event_count_political_violence,0.0009978820563521333
headline_cpi_chainlinked,0.0009715808613029606
maize_price_index_lag6,0.0009656940049395562
exchange_rate_lag1,0.0009259374356343236
headline_cpi_lag3,0.0009104015800860773
headline_cpi_chainlinked_lag3,0.0009063235359027421
is_harvest_season,0.0008952757530741147
food_cpi_lag12,0.0008624589015480357
agss_surveyed_flag,0.0008184084298486302
maize_price_etb_lag6,0.0007100781681592367
maize_price_etb_lag1,0.0006974666764092939
acled_fatalities,0.0006640099280915846
sorghum_price_index,0.0006630849140813666
sorghum_price_index_lag6,0.0006553648681051445
maize_price_index_lag3,0.000653250764027881
acled_fatalities_lag1,0.000647050872750575
exchange_rate_lag6,0.000611702162067329
maize_price_etb_lag3,0.0006008308190683585
sorghum_n_markets,0.0005669418570085722
sorghum_price_etb,0.0004924492523781629
maize_price_index_lag1,0.0004887201366210362
sorghum_price_index_lag1,0.00047828490517890675
gdp_per_capita,0.00047053517233788957
acled_event_count,0.0004702872392563562
wheat_n_markets,0.0004654133246290287
acled_event_count_lag1,0.0004627795234759625
maize_price_index,0.00044814567823700616
acled_fatalities_political_violence_lag3,0.00044450577353051995
maize_price_etb,0.00043776042495395656
acled_event_count_lag6,0.00043157856065299404
acled_event_count_political_violence_lag3,0.00043099295616594427
wheat_price_index_lag6,0.00040647929757821804
maize_n_markets,0.0003946168284597319
sorghum_price_index_lag3,0.0003870315028325467
acled_event_count_lag3,0.00038567688972908397
acled_fatalities_lag6,0.0003735811730036556
sorghum_price_etb_lag1,0.00037230073319413404
wheat_price_index_lag3,0.0003681636055234242
acled_fatalities_political_violence_lag6,0.00036718998059187416
acled_event_count_lag12,0.00035229785966837577
acled_event_count_political_violence_lag1,0.00034128325496181176
wheat_price_index_lag1,0.0003371724277018809
acled_event_count_political_violence_lag6,0.00033021084517733204
idps_ethiopia,0.0003158811742708492
acled_fatalities_political_violence_lag12,0.0003138548524261488
is_dry_season,0.0003103464539017854
sorghum_price_index_lag12,0.00030903843711342383
acled_fatalities_lag3,0.0003070218071514599
total_refugees_hosted,0.00028071329239998046
acled_fatalities_lag12,0.00027414368825831283
acled_event_count_demonstrations_lag6,0.00026908323183218337
wheat_price_index_lag12,0.0002431075634854497
wheat_price_index,0.00023390941506441293
acled_event_count_demonstrations_lag1,0.0002064401890536593
