,mean_abs_shap
ipc_lag1,0.22353208691930673
months_since_lean_start,0.060826683206402735
ipc_mean12,0.03640039817084931
headline_cpi_yoy_change_lag12,0.02253820593034999
ipc_lag8,0.02173648026172172
headline_cpi_yoy_change,0.019811843497597653
headline_cpi,0.017584032185884738
ha_share_lag1,0.017298964941662043
ha_share_mean12,0.015283741530486021
exchange_rate_yoy_change_lag12,0.014921771050054834
ipc_lag4,0.012313513565754546
food_cpi_yoy_change,0.011127276374432055
headline_cpi_yoy_change_lag6,0.010782305311650716
exchange_rate_yoy_change,0.009888706120274822
exchange_rate_yoy_change_lag1,0.008925760334924511
headline_cpi_yoy_change_lag3,0.00857988733559168
wheat_price_etb_lag6,0.007722494227454494
maize_yield_anomaly,0.007520728839434082
headline_cpi_yoy_change_lag1,0.006993123560210624
headline_cpi_lag6,0.006540857399399267
maize_yield,0.005648624274578894
exchange_rate_yoy_change_lag6,0.005333505611380805
food_cpi_yoy_change_lag1,0.005241535826635356
food_cpi_yoy_change_lag6,0.005144165021099351
pct_pastoral,0.005115468118254936
headline_cpi_lag12,0.004998118096796745
total_asylum_seekers_hosted,0.004928099085223971
pct_crop_farming,0.004006340943554543
exchange_rate_yoy_change_lag3,0.0039766860222945274
ha_share_lag8,0.003957349995216721
ha_share_lag4,0.0037603497242952233
sorghum_price_etb_lag12,0.003587581798064042
sorghum_yield,0.0033767693080239414
season_national_belg_meher,0.003224633856990816
pct_agropastoral,0.003117788962896443
wheat_price_etb_lag1,0.00308925213225236
wheat_price_etb_lag3,0.003085577718269535
maize_price_index_lag12,0.0027575084604091527
is_lean_season,0.0027476947559872894
sorghum_price_etb_lag3,0.00272632555613838
food_cpi_yoy_change_lag12,0.0027235039966817228
teff_yield,0.002666871841682611
maize_price_etb_lag6,0.0023551937641950005
headline_cpi_lag1,0.002176944896439958
sorghum_price_etb_lag6,0.0021727804758819302
gdp_per_capita_yoy_change,0.00210447975388086
wheat_price_index_lag3,0.002013683717265941
months_since_harvest_start,0.0020055766825758953
idps_ethiopia,0.0019914465807918187
food_cpi,0.0019870016946578802
maize_price_etb_lag12,0.0019593695975940358
wheat_price_etb,0.0018455520888316151
teff_yield_anomaly,0.0018286781320946126
wheat_yield,0.0017908231079516697
total_refugees_hosted_yoy_change,0.0017660337937976508
sorghum_price_etb_lag1,0.001735313122322702
sorghum_price_etb,0.001630286586916317
sorghum_price_index_lag6,0.0015835764908519096
maize_price_index_lag6,0.0014487480696273377
