,combined_rank_percentile
headline_cpi_yoy_change_lag12,0.9719626168224299
ipc_lag1,0.9641744548286604
headline_cpi_yoy_change_lag3,0.9482087227414331
headline_cpi_yoy_change,0.9470404984423676
headline_cpi_yoy_change_lag6,0.9295171339563864
ipc_mean12,0.9283489096573209
headline_cpi_yoy_change_lag1,0.927570093457944
headline_cpi_lag12,0.9174454828660437
ipc_lag4,0.9135514018691588
wheat_price_etb_lag3,0.9088785046728972
wheat_price_etb_lag6,0.9026479750778816
exchange_rate_yoy_change,0.8870716510903427
headline_cpi_lag6,0.8862928348909658
wheat_price_etb_lag1,0.8777258566978193
headline_cpi,0.8753894080996885
wheat_price_etb,0.8691588785046729
food_cpi_yoy_change,0.8613707165109035
seasonal_precip_prob_near_lead1,0.8535825545171339
wheat_price_etb_lag12,0.8504672897196262
spi_24,0.8473520249221184
exchange_rate_yoy_change_lag1,0.8442367601246106
food_cpi,0.8442367601246106
exchange_rate_yoy_change_lag12,0.8415109034267912
exchange_rate_yoy_change_lag6,0.8407320872274143
food_cpi_lag1,0.8403426791277259
seasonal_precip_prob_near_lead3,0.838006230529595
season_national_belg_meher,0.8364485981308412
headline_cpi_lag1,0.8325545171339563
spi_12,0.8317757009345794
glofas_exceed_20yr_lead1,0.8193146417445483
ndvi_anomaly_lag3,0.8161993769470405
idps_ethiopia,0.815809968847352
wheat_price_index_lag3,0.8146417445482865
exchange_rate_lag3,0.8138629283489096
wet_days,0.8130841121495327
seasonal_precip_prob_above_lead3,0.8099688473520249
months_since_lean_start,0.8045171339563864
exchange_rate_lag12,0.8037383177570093
ipc_lag8,0.8014018691588785
seasonal_overlaps_deyr_lead1,0.7975077881619937
exchange_rate,0.7963395638629284
wvg_lag3yr,0.794392523364486
headline_cpi_lag3,0.7920560747663552
ndvi_cropland_anomaly_lag6,0.7912772585669782
spi_3,0.7881619937694704
wheat_price_index_lag6,0.7850467289719626
food_cpi_lag6,0.7842679127725857
spi_6,0.7819314641744548
seasonal_precip_prob_below_lead3,0.778816199376947
total_refugees_hosted_yoy_change,0.7780373831775701
seasonal_precip_prob_above_lead1,0.7757009345794392
food_cpi_lag3,0.7698598130841121
wheat_price_index_lag1,0.7671339563862929
ssmi_6,0.7632398753894081
is_lean_season,0.7601246105919003
dominant_livelihood_zone_pastoral,0.7601246105919003
seasonal_overlaps_kiremt_lead1,0.7570093457943925
pct_crop_farming,0.7562305295950156
spei_balance_sum_24m,0.7538940809968847
wheat_price_index_lag12,0.7507788161993769
season_system_national_belg_meher,0.7476635514018691
wheat_price_index,0.7468847352024922
maize_price_etb_lag1,0.7429906542056075
ssmi_3,0.7414330218068536
total_rainfall_mm,0.735202492211838
glofas_exceed_2yr_lead1,0.7320872274143302
headline_cpi_chainlinked_lag12,0.7289719626168224
exchange_rate_yoy_change_lag3,0.7258566978193146
ndvi_lag1,0.7258566978193146
dominant_livelihood_zone_crop_farming,0.7227414330218068
exchange_rate_lag1,0.7200155763239875
pct_pastoral,0.7192367601246106
food_cpi_lag12,0.7180685358255452
headline_cpi_chainlinked_lag6,0.7172897196261683
sm_mean_1m,0.7165109034267912
food_cpi_chainlinked_lag6,0.7153426791277259
food_cpi_chainlinked,0.7110591900311527
seasonal_precip_prob_below_lead1,0.7102803738317757
ndvi_cropland_lag12,0.7040498442367601
ha_share_lag1,0.7017133956386293
maize_price_etb,0.7009345794392523
ndvi_lag6,0.6978193146417445
maize_price_etb_lag3,0.6970404984423676
ssmi_12,0.6915887850467289
headline_cpi_chainlinked_lag1,0.6904205607476636
iod,0.6853582554517134
ndvi_rangeland_anomaly,0.6822429906542056
maize_price_index,0.6810747663551402
food_cpi_chainlinked_lag1,0.6787383177570093
seasonal_overlaps_belg_lead3,0.67601246105919
ha_share_lag8,0.6728971962616822
precip_mm,0.6728971962616822
seasonal_overlaps_kiremt_lead3,0.6697819314641744
headline_cpi_chainlinked_lag3,0.6682242990654206
wvg,0.6666666666666666
sorghum_price_etb,0.6643302180685358
spei_balance_sum_6m,0.6635514018691588
iod_lag3,0.660436137071651
food_cpi_chainlinked_lag12,0.6580996884735202
food_cpi_chainlinked_lag3,0.6580996884735202
