,mean_abs_shap
ipc_lag1,0.21135039924345056
months_since_lean_start,0.06958440626351296
ipc_mean12,0.03773018374464584
ipc_lag8,0.021608344549114183
ha_share_mean12,0.019629607356608493
exchange_rate_yoy_change_lag12,0.016229565923686535
ha_share_lag1,0.01533658109986695
headline_cpi_yoy_change_lag12,0.013723800300354683
ipc_lag4,0.012894889192143419
headline_cpi_yoy_change,0.010268705695809779
food_cpi_yoy_change,0.00963677725410232
exchange_rate_yoy_change,0.009497900942649682
exchange_rate_yoy_change_lag1,0.00797368676801739
season_somali_gu_deyr,0.007015855698317795
ha_share_lag8,0.006821840499654671
headline_cpi_yoy_change_lag1,0.006741547392849871
headline_cpi_yoy_change_lag3,0.006516060899755794
food_cpi_yoy_change_lag1,0.006462961235681534
food_cpi_yoy_change_lag6,0.005387647399135775
headline_cpi_yoy_change_lag6,0.005345804443174121
total_refugees_hosted_yoy_change,0.004730784661990248
exchange_rate_yoy_change_lag3,0.00437774950855009
exchange_rate_yoy_change_lag6,0.00432283290829847
pct_pastoral,0.004192058372411728
maize_yield,0.004176464092505058
food_cpi_yoy_change_lag3,0.004088228658153736
food_cpi_yoy_change_lag12,0.0038875852727277348
pct_crop_farming,0.003802997277228116
gdp_per_capita_yoy_change,0.003796231999507021
ha_share_lag4,0.003763688334935121
total_asylum_seekers_hosted,0.0033418725298893933
wheat_yield,0.0027067729342762216
sorghum_yield,0.002565034196193641
total_asylum_seekers_hosted_yoy_change,0.002529326790588576
headline_cpi_lag12,0.0024251719724736488
months_since_harvest_start,0.002409037545532198
sorghum_yield_anomaly,0.0023723382220391617
headline_cpi_chainlinked_lag12,0.002350728731414995
teff_yield,0.0021627775319848627
pct_agropastoral,0.0021462184504335937
maize_yield_anomaly,0.002065614617161655
sorghum_price_etb_lag6,0.002025282580079326
is_lean_season,0.0018904430967497067
headline_cpi_chainlinked_lag6,0.0017614988098985068
wheat_price_etb_lag3,0.0017445746046503808
headline_cpi_lag6,0.0017272230842101085
season_national_belg_meher,0.0017241485877121825
sorghum_price_etb_lag3,0.001654142067480429
food_cpi_lag1,0.0015678430934416207
exchange_rate_lag12,0.0015188759346695085
teff_yield_anomaly,0.0015027872029526937
exchange_rate_lag3,0.001412798049874895
food_cpi_chainlinked,0.0013404624218769944
maize_price_index_lag12,0.0013363107539398388
food_cpi,0.0012969001031928435
food_cpi_chainlinked_lag6,0.0012920140649881626
headline_cpi_chainlinked_lag1,0.0012910409139212902
food_cpi_chainlinked_lag1,0.0012544145281032976
food_cpi_lag3,0.0012343120454634386
wheat_price_etb_lag12,0.0012288647206879966
headline_cpi_lag1,0.0012058676962658104
food_cpi_lag6,0.0011924264989144884
maize_price_etb_lag12,0.0011581814946280654
sorghum_price_etb_lag12,0.0011489699089297924
wheat_price_etb_lag6,0.0011334325362926307
headline_cpi,0.0011298081924319301
food_cpi_chainlinked_lag12,0.0011103186070794504
exchange_rate,0.001062836945866316
wheat_price_etb,0.0010282847305113601
wheat_price_etb_lag1,0.0009990295486883274
food_cpi_chainlinked_lag3,0.0009855075028331957
acled_fatalities_political_violence_lag1,0.0009586612038821659
exchange_rate_lag1,0.0009342372174979686
headline_cpi_chainlinked,0.0009252845579609067
is_harvest_season,0.0009029098175156743
food_cpi_lag12,0.0008824001432978538
acled_fatalities_political_violence,0.000882265464752413
headline_cpi_lag3,0.0008814189102647364
agss_surveyed_flag,0.0008650644163056108
wheat_yield_anomaly,0.0008649168291038933
headline_cpi_chainlinked_lag3,0.0008521223705991837
maize_price_index_lag6,0.0008252328312110466
acled_event_count_political_violence,0.000659138330293584
acled_fatalities_lag1,0.0006318199620424646
maize_price_etb_lag6,0.0006233261070382568
sorghum_price_index_lag6,0.000620151726741361
exchange_rate_lag6,0.0006159952379450924
sorghum_price_index,0.0006137418819200409
maize_price_etb_lag1,0.0005775410777635568
acled_fatalities,0.0005600005216050223
maize_price_etb_lag3,0.000546480880373796
maize_price_index_lag3,0.0005319815893021695
gdp_per_capita,0.00049822402211282
sorghum_n_markets,0.0004784843799260211
sorghum_price_index_lag1,0.0004432114852580639
acled_event_count,0.0004430523296511839
maize_price_index_lag1,0.00044034832211077763
sorghum_price_etb,0.00043517346948906667
maize_price_etb,0.0004189996111864653
acled_event_count_lag1,0.00041734129631682655
acled_event_count_lag6,0.00041729031589235954
acled_event_count_lag3,0.00039276964377899046
wheat_n_markets,0.0003904781605154608
maize_price_index,0.00038995246826766157
acled_fatalities_political_violence_lag3,0.0003801876583217702
maize_n_markets,0.0003769780453212149
wheat_price_index_lag6,0.00036018964120990333
acled_fatalities_lag6,0.0003558621243583681
sorghum_price_index_lag3,0.00035496671341461706
acled_event_count_lag12,0.00034018010827039833
acled_event_count_political_violence_lag3,0.0003382389713825422
sorghum_price_etb_lag1,0.0003322794276368948
wheat_price_index_lag3,0.00032957583153722344
acled_fatalities_political_violence_lag6,0.00032407843307967726
idps_ethiopia,0.00032389163845899794
wheat_price_index_lag1,0.0002980997343510589
acled_event_count_political_violence_lag6,0.0002965502572567435
acled_event_count_demonstrations_lag6,0.0002961204442965115
is_dry_season,0.0002960074739902289
acled_fatalities_lag3,0.0002883714878866782
acled_event_count_political_violence_lag1,0.0002715098255337713
sorghum_price_index_lag12,0.00026289027324136107
