,mean_abs_shap
ipc_lag1,0.19781943631221544
months_since_lean_start,0.06022950199100377
ipc_mean12,0.03606569669559711
headline_cpi_yoy_change_lag12,0.022994667795545237
ipc_lag8,0.020087095701217323
headline_cpi_yoy_change,0.01929741499468612
ha_share_lag1,0.017418629212820422
headline_cpi,0.016724183065386127
exchange_rate_yoy_change_lag12,0.015992077650454763
ha_share_mean12,0.01569615463354079
ipc_lag4,0.011178873829013978
headline_cpi_yoy_change_lag6,0.01065115652736752
food_cpi_yoy_change,0.009857885811528997
exchange_rate_yoy_change,0.0088962640759861
headline_cpi_yoy_change_lag3,0.008700703055417234
exchange_rate_yoy_change_lag1,0.00851077905208839
headline_cpi_yoy_change_lag1,0.006650523091213272
headline_cpi_lag6,0.006519541413596529
wheat_price_etb_lag6,0.0063500054368380975
maize_yield_anomaly,0.006019849747964396
pct_pastoral,0.005313673458371268
exchange_rate_yoy_change_lag6,0.005222722682799807
headline_cpi_lag12,0.005043072308483742
food_cpi_yoy_change_lag6,0.004902596169281841
food_cpi_yoy_change_lag1,0.004700482669160293
maize_yield,0.0039890314940185774
ha_share_lag8,0.003908787722255214
total_asylum_seekers_hosted,0.003859805216366172
pct_crop_farming,0.0038457910723571605
exchange_rate_yoy_change_lag3,0.003739328719042447
ha_share_lag4,0.003413381119270914
season_national_belg_meher,0.00333595585162842
pct_agropastoral,0.0031870978455694897
sorghum_yield,0.002956826685400123
wheat_price_etb_lag1,0.002858679382010955
sorghum_price_etb_lag12,0.002836570747066842
wheat_price_etb_lag3,0.0026918369978621314
is_lean_season,0.0026065139758758623
food_cpi_yoy_change_lag12,0.002418167513761132
sorghum_price_etb_lag3,0.0023954020560191386
headline_cpi_lag1,0.0021273277740439644
idps_ethiopia,0.0020876453952893377
maize_price_etb_lag6,0.002087242753335562
gdp_per_capita_yoy_change,0.0020654423995807333
food_cpi,0.002014792257061214
maize_price_index_lag12,0.0019373066081897483
months_since_harvest_start,0.0019194246293463358
sorghum_price_etb_lag6,0.0018915424239580707
total_refugees_hosted_yoy_change,0.001741193120835093
wheat_price_index_lag3,0.0016910092191085517
teff_yield,0.0016133858136327525
sorghum_price_etb_lag1,0.00155701306254074
teff_yield_anomaly,0.0014917917390211933
wheat_price_etb,0.001485407955654022
sorghum_price_etb,0.0014227408677303561
sorghum_price_index_lag6,0.0013829323516488898
maize_price_etb_lag12,0.0013774501025937678
maize_price_etb_lag1,0.0013098606815552976
is_harvest_season,0.0011976082250732976
maize_price_index_lag6,0.0011600265479162163
maize_price_etb_lag3,0.0011562800068302841
exchange_rate_lag3,0.0011013369451953758
sorghum_price_index_lag1,0.0010691645770192948
wheat_yield,0.0010560364664896674
total_asylum_seekers_hosted_yoy_change,0.0010444642446473694
food_cpi_yoy_change_lag3,0.0010363768398020355
sorghum_price_index,0.0010246013741415788
acled_fatalities_lag1,0.000998586642446949
sorghum_yield_anomaly,0.0009374436069542788
headline_cpi_lag3,0.0009314918060985627
maize_price_index,0.0009199376504037855
sorghum_price_index_lag3,0.0009051288774819033
food_cpi_lag1,0.0008868406558238366
acled_fatalities_political_violence_lag1,0.0008782283787013355
sorghum_price_index_lag12,0.0008742180390198625
maize_price_index_lag1,0.0008552420554246195
wheat_yield_anomaly,0.0007198523169896309
wheat_price_index_lag6,0.0006844617814125122
wheat_price_etb_lag12,0.0006500386862435203
wheat_price_index_lag1,0.0006268697574199932
wheat_price_index_lag12,0.0006120625787412683
exchange_rate_lag12,0.0006107151960816525
acled_fatalities,0.0006082762138236101
maize_price_index_lag3,0.000527066635363205
acled_event_count_lag1,0.0005151143088583945
maize_price_etb,0.0004790747143569858
acled_event_count_lag6,0.0004667960947762379
acled_fatalities_lag12,0.0004304841027728149
is_dry_season,0.00042879974052221896
food_cpi_lag6,0.00040977232057274704
acled_event_count_lag3,0.00033930254027326486
wheat_price_index,0.0003344152675728841
acled_fatalities_lag6,0.00031678057455678205
livestock_sheep_price_etb,0.0003151391151446651
acled_fatalities_lag3,0.00031148019682450813
acled_event_count_lag12,0.0002813606402544938
sheep_maize_tot_lag6,0.0002788249287546051
acled_fatalities_political_violence,0.0002520326226101282
acled_event_count,0.0002499363317894778
exchange_rate,0.00022753764630351254
acled_event_count_demonstrations_lag6,0.00021078608184699367
agss_surveyed_flag,0.00019827625984030346
acled_event_count_political_violence,0.00019692172470847703
acled_event_count_political_violence_lag1,0.00019269103661251528
acled_fatalities_political_violence_lag3,0.00018775744674267122
acled_event_count_political_violence_lag6,0.00015970508328891564
acled_event_count_demonstrations,0.00013778826351656102
livestock_goat_price_etb_lag6,0.0001343695705228217
food_cpi_lag3,0.00011724371321176695
livestock_sheep_price_etb_lag1,0.00011147899081412474
sheep_maize_tot_lag3,9.385888703203431e-05
acled_fatalities_political_violence_lag12,9.104506651889546e-05
sheep_maize_tot_lag12,9.087021183029712e-05
food_cpi_lag12,8.977703861647984e-05
acled_event_count_demonstrations_lag1,7.982145545951471e-05
acled_event_count_political_violence_lag3,6.840516916901038e-05
acled_event_count_political_violence_lag12,6.285530378112635e-05
acled_event_count_demonstrations_lag12,6.090581007019004e-05
sheep_maize_tot,4.475715964148175e-05
exchange_rate_lag1,3.864091684112391e-05
acled_event_count_strategic_developments,3.510650673629221e-05
acled_fatalities_political_violence_lag6,3.2641752022064665e-05
goat_maize_tot_lag6,3.124178330021286e-05
acled_event_count_strategic_developments_lag12,2.4311035920353573e-05
acled_fatalities_demonstrations_lag12,2.1051476645913923e-05
acled_event_count_demonstrations_lag3,1.8169136757765087e-05
acled_fatalities_demonstrations_lag1,1.6270851969636663e-05
livestock_goat_price_etb,1.5606028410259652e-05
season_benishangul_meher_only,1.326014919462884e-05
acled_event_count_strategic_developments_lag3,8.87942401431321e-06
