subject,lead,zone_code,time,top1_feature,rho
lstm,0,ET0101,2020-02-01,wheat_price_etb,0.9173155646120673
lstm,0,ET0101,2020-06-01,idps_ethiopia_yoy_change,0.8653241304150396
lstm,0,ET0101,2020-10-01,idps_ethiopia_yoy_change,0.8108238234175038
lstm,0,ET0101,2021-02-01,idps_ethiopia_yoy_change,0.8209673962401237
lstm,0,ET0101,2021-06-01,idps_ethiopia_yoy_change,0.732154912862968
lstm,0,ET0101,2021-10-01,idps_ethiopia_yoy_change,0.8217767199460853
lstm,0,ET0101,2022-02-01,idps_ethiopia_yoy_change,0.8604536632526223
lstm,0,ET0101,2022-06-01,wheat_price_etb_lag1,0.877624097092682
lstm,0,ET0101,2022-10-01,wheat_price_etb,0.8902689985440896
lstm,0,ET0102,2020-02-01,wheat_price_etb_lag1,0.8851717705230402
lstm,0,ET0102,2020-06-01,wheat_price_etb,0.9305134865134866
lstm,0,ET0102,2020-10-01,idps_ethiopia_yoy_change,0.7783783243841599
lstm,0,ET0102,2021-02-01,wheat_price_index_lag12,0.8181709199891019
lstm,0,ET0102,2021-06-01,idps_ethiopia_yoy_change,0.79773278752023
lstm,0,ET0102,2021-10-01,idps_ethiopia_yoy_change,0.7915846658336212
lstm,0,ET0102,2022-02-01,idps_ethiopia_yoy_change,0.7510758237684361
lstm,0,ET0102,2022-06-01,wheat_price_index_lag1,0.8805489211601377
lstm,0,ET0102,2022-10-01,wheat_price_index_lag1,0.8739897742788252
lstm,0,ET0103,2020-02-01,wheat_price_etb_lag1,0.8213627256547905
lstm,0,ET0103,2020-06-01,wheat_price_etb_lag3,0.9071361365906823
lstm,0,ET0103,2020-10-01,idps_ethiopia_yoy_change,0.770760947640751
lstm,0,ET0103,2021-02-01,idps_ethiopia_yoy_change,0.7978803015166653
lstm,0,ET0103,2021-06-01,idps_ethiopia_yoy_change,0.8146965483110729
lstm,0,ET0103,2021-10-01,idps_ethiopia_yoy_change,0.7726439951587182
lstm,0,ET0103,2022-02-01,idps_ethiopia_yoy_change,0.8157560933059046
lstm,0,ET0103,2022-06-01,wheat_price_etb,0.8155486741862938
lstm,0,ET0103,2022-10-01,wheat_price_index_lag3,0.8897105969233451
lstm,0,ET0104,2020-02-01,wheat_price_etb_lag1,0.8738647768142315
lstm,0,ET0104,2020-06-01,wheat_price_index_lag3,0.8927694124057761
lstm,0,ET0104,2020-10-01,idps_ethiopia_yoy_change,0.816236370785466
lstm,0,ET0104,2021-02-01,wheat_price_etb_lag12,0.7995644355644357
lstm,0,ET0104,2021-06-01,idps_ethiopia_yoy_change,0.8167527947728681
lstm,0,ET0104,2021-10-01,idps_ethiopia_yoy_change,0.7140362107683819
lstm,0,ET0104,2022-02-01,idps_ethiopia_yoy_change,0.7927959787452116
lstm,0,ET0104,2022-06-01,wheat_price_index,0.8891937320943963
lstm,0,ET0104,2022-10-01,wheat_price_index_lag1,0.8105068819913662
lstm,0,ET0105,2020-02-01,max_dry_spell_length,0.9715538769679279
lstm,0,ET0105,2020-06-01,idps_ethiopia_yoy_change,0.8687324179139195
