subject,cluster,lead,zone_code,time,top1_feature,rho
randomforest,pastoral,0,ET0201,2020-02-01,months_since_lean_start,0.9987976977697889
randomforest,pastoral,0,ET0202,2020-02-01,ipc_lag1,0.9346352322169381
randomforest,pastoral,0,ET0203,2020-02-01,months_since_lean_start,0.9983884983721304
randomforest,pastoral,0,ET0204,2020-02-01,ha_share_lag1,0.9999851200219033
randomforest,pastoral,0,ET0205,2020-02-01,ha_share_lag1,0.9999925600109517
randomforest,pastoral,0,ET0411,2020-02-01,ipc_mean12,0.9888489444143538
randomforest,pastoral,0,ET0412,2020-02-01,ha_share_lag1,0.9999836320240938
randomforest,pastoral,0,ET0414,2020-02-01,ipc_lag1,0.9979078750796078
randomforest,pastoral,0,ET0415,2020-02-01,exchange_rate_yoy_change,0.9993556969484141
randomforest,pastoral,0,ET0421,2020-02-01,ipc_lag1,0.996485349173566
randomforest,pastoral,0,ET0501,2020-02-01,months_since_lean_start,0.9648847396896632
randomforest,pastoral,0,ET0503,2020-02-01,ipc_lag1,0.9506401366577188
randomforest,pastoral,0,ET0504,2020-02-01,ipc_lag1,0.9540193796834731
randomforest,pastoral,0,ET0505,2020-02-01,ipc_lag1,0.954663682735059
randomforest,pastoral,0,ET0506,2020-02-01,ipc_lag1,0.9566129598657231
randomforest,pastoral,0,ET0507,2020-02-01,ipc_lag1,0.954605650820482
randomforest,pastoral,0,ET0508,2020-02-01,ipc_lag1,0.9620352238841504
randomforest,pastoral,0,ET0509,2020-02-01,ipc_lag1,0.950765128473731
randomforest,pastoral,0,ET0510,2020-02-01,ipc_lag1,0.9491670188261482
randomforest,pastoral,0,ET0511,2020-02-01,ipc_lag1,0.9544479230526572
randomforest,pastoral,0,ET0201,2020-06-01,ipc_lag1,0.9935584574819506
randomforest,pastoral,0,ET0202,2020-06-01,exchange_rate_yoy_change,0.9941164566605758
randomforest,pastoral,0,ET0203,2020-06-01,ha_share_lag1,0.9695689567944956
randomforest,pastoral,0,ET0204,2020-06-01,exchange_rate_yoy_change,0.9923502032605007
randomforest,pastoral,0,ET0205,2020-06-01,ipc_lag1,0.9948545035741707
randomforest,pastoral,0,ET0411,2020-06-01,ipc_lag1,0.9949616394164669
randomforest,pastoral,0,ET0412,2020-06-01,ipc_lag1,0.9964868371713757
randomforest,pastoral,0,ET0414,2020-06-01,ipc_lag1,0.9958246781460738
randomforest,pastoral,0,ET0415,2020-06-01,ipc_lag1,1.0
randomforest,pastoral,0,ET0421,2020-06-01,ipc_lag1,0.9978513311628405
randomforest,pastoral,0,ET0501,2020-06-01,months_since_lean_start,0.9693725410836195
randomforest,pastoral,0,ET0503,2020-06-01,ipc_lag1,0.9995476486658612
randomforest,pastoral,0,ET0504,2020-06-01,ipc_lag1,0.9618060722214617
randomforest,pastoral,0,ET0505,2020-06-01,ipc_lag1,0.997241252060877
randomforest,pastoral,0,ET0506,2020-06-01,months_since_lean_start,0.9682654707132272
randomforest,pastoral,0,ET0507,2020-06-01,ipc_lag1,0.9990432174083839
randomforest,pastoral,0,ET0508,2020-06-01,ipc_lag1,0.9997842403175982
randomforest,pastoral,0,ET0509,2020-06-01,ipc_lag1,0.9996086565760575
randomforest,pastoral,0,ET0510,2020-06-01,ipc_lag1,0.9985358101552875
randomforest,pastoral,0,ET0511,2020-06-01,months_since_lean_start,0.9726520882561261
randomforest,pastoral,0,ET0201,2020-10-01,ha_share_lag1,0.9645752361452524
randomforest,pastoral,0,ET0202,2020-10-01,exchange_rate_yoy_change,0.9952473349959229
randomforest,pastoral,0,ET0203,2020-10-01,ha_share_lag1,0.9747174292159441
randomforest,pastoral,0,ET0204,2020-10-01,ipc_lag1,0.9728142800173798
randomforest,pastoral,0,ET0205,2020-10-01,ipc_lag1,0.9982352345977347
randomforest,pastoral,0,ET0411,2020-10-01,ipc_lag1,0.9979465630226593
randomforest,pastoral,0,ET0412,2020-10-01,ha_share_lag1,0.9814907952455494
randomforest,pastoral,0,ET0414,2020-10-01,ipc_lag1,0.9896405592490968
randomforest,pastoral,0,ET0415,2020-10-01,ha_share_lag1,0.9678399033396623
randomforest,pastoral,0,ET0421,2020-10-01,exchange_rate_yoy_change,0.9976861634059675
randomforest,pastoral,0,ET0501,2020-10-01,ipc_lag1,0.9924618030962259
randomforest,pastoral,0,ET0503,2020-10-01,ipc_lag1,0.9990580973864805
randomforest,pastoral,0,ET0504,2020-10-01,ipc_lag1,0.9455943360851373
randomforest,pastoral,0,ET0505,2020-10-01,exchange_rate_yoy_change,0.9951223431799108
randomforest,pastoral,0,ET0506,2020-10-01,ipc_lag1,0.9374222521144449
randomforest,pastoral,0,ET0507,2020-10-01,ipc_lag1,0.9313646130312897
randomforest,pastoral,0,ET0508,2020-10-01,ipc_lag1,0.9970552523346685
randomforest,pastoral,0,ET0509,2020-10-01,exchange_rate_yoy_change,0.993015338281422
randomforest,pastoral,0,ET0510,2020-10-01,ipc_lag1,0.9420290933331746
randomforest,pastoral,0,ET0511,2020-10-01,ipc_lag1,0.949485450357417
randomforest,pastoral,0,ET0201,2021-02-01,ha_share_lag1,0.9588404925867948
randomforest,pastoral,0,ET0202,2021-02-01,ipc_lag1,0.9560415687068109
randomforest,pastoral,0,ET0203,2021-02-01,ha_share_lag1,0.9612064091041659
randomforest,pastoral,0,ET0204,2021-02-01,ipc_lag1,0.9999985120021903
randomforest,pastoral,0,ET0205,2021-02-01,ipc_lag1,0.9982277946086864
randomforest,pastoral,0,ET0411,2021-02-01,ipc_lag1,0.9929007624500776
randomforest,pastoral,0,ET0412,2021-02-01,ipc_lag1,0.9995610406461481
randomforest,pastoral,0,ET0414,2021-02-01,ipc_lag1,0.9937340412234914
randomforest,pastoral,0,ET0415,2021-02-01,ha_share_lag1,0.9748721809881494
randomforest,pastoral,0,ET0421,2021-02-01,ipc_lag1,0.9982590425626893
randomforest,pastoral,0,ET0501,2021-02-01,months_since_lean_start,0.9721565849855069
randomforest,pastoral,0,ET0503,2021-02-01,ipc_lag1,0.9644234603686664
randomforest,pastoral,0,ET0504,2021-02-01,ipc_lag1,0.9586902048080185
randomforest,pastoral,0,ET0505,2021-02-01,ipc_lag1,0.9671509603537863
randomforest,pastoral,0,ET0506,2021-02-01,ipc_lag1,0.9619444560177607
randomforest,pastoral,0,ET0507,2021-02-01,ipc_lag1,0.9603418823767491
randomforest,pastoral,0,ET0508,2021-02-01,ipc_lag1,0.9524673979679902
randomforest,pastoral,0,ET0509,2021-02-01,ipc_lag1,0.9514808554201808
randomforest,pastoral,0,ET0510,2021-02-01,ipc_lag1,0.9468888941795477
randomforest,pastoral,0,ET0511,2021-02-01,ipc_lag1,0.9597347792704048
randomforest,pastoral,0,ET0201,2021-06-01,exchange_rate_yoy_change,0.9964645172042307
randomforest,pastoral,0,ET0202,2021-06-01,ipc_lag1,0.9553645297034123
randomforest,pastoral,0,ET0203,2021-06-01,ipc_lag1,0.9583673092833208
randomforest,pastoral,0,ET0204,2021-06-01,ipc_lag1,0.9491313068787162
randomforest,pastoral,0,ET0205,2021-06-01,ipc_lag1,0.9974852837016623
randomforest,pastoral,0,ET0411,2021-06-01,ipc_lag1,0.9970969162733393
randomforest,pastoral,0,ET0412,2021-06-01,ipc_lag1,0.9686478861503115
randomforest,pastoral,0,ET0414,2021-06-01,ipc_lag1,0.9933486497907874
randomforest,pastoral,0,ET0415,2021-06-01,ha_share_lag1,0.9702340918154169
randomforest,pastoral,0,ET0421,2021-06-01,exchange_rate_yoy_change,0.991289260822208
randomforest,pastoral,0,ET0501,2021-06-01,ipc_lag1,0.9976683074322515
randomforest,pastoral,0,ET0503,2021-06-01,ipc_lag1,0.9599728589199515
randomforest,pastoral,0,ET0504,2021-06-01,ipc_lag1,0.9598314991280332
randomforest,pastoral,0,ET0505,2021-06-01,ipc_lag1,0.9639577170542405
randomforest,pastoral,0,ET0506,2021-06-01,ipc_lag1,0.961822440197368
randomforest,pastoral,0,ET0507,2021-06-01,ipc_lag1,0.9464365428454089
randomforest,pastoral,0,ET0508,2021-06-01,ipc_lag1,0.9472623816297743
randomforest,pastoral,0,ET0509,2021-06-01,ipc_lag1,0.9550327061918564
randomforest,pastoral,0,ET0510,2021-06-01,ipc_lag1,0.9543184672432162
randomforest,pastoral,0,ET0511,2021-06-01,ipc_lag1,0.9612822969924588
randomforest,pastoral,0,ET0201,2021-10-01,ipc_lag1,0.9440780663170864
randomforest,pastoral,0,ET0202,2021-10-01,ipc_lag1,0.940609543422752
randomforest,pastoral,0,ET0203,2021-10-01,ipc_lag1,0.9468025903065871
randomforest,pastoral,0,ET0204,2021-10-01,ipc_lag1,0.9540119396944248
randomforest,pastoral,0,ET0205,2021-10-01,ipc_lag1,0.9425841165161805
randomforest,pastoral,0,ET0411,2021-10-01,ipc_lag1,0.9975656355833843
randomforest,pastoral,0,ET0412,2021-10-01,ipc_lag1,0.9447134413818143
randomforest,pastoral,0,ET0414,2021-10-01,ipc_lag1,0.9966073649939587
randomforest,pastoral,0,ET0415,2021-10-01,ipc_lag1,0.9651912672384545
randomforest,pastoral,0,ET0421,2021-10-01,exchange_rate_yoy_change,0.9932489539375398
randomforest,pastoral,0,ET0501,2021-10-01,ipc_lag1,0.9708620268910964
randomforest,pastoral,0,ET0503,2021-10-01,ipc_lag1,0.9944125682246996
randomforest,pastoral,0,ET0504,2021-10-01,exchange_rate_yoy_change,0.9935956574271921
randomforest,pastoral,0,ET0505,2021-10-01,ipc_lag1,0.9950583592740952
randomforest,pastoral,0,ET0506,2021-10-01,exchange_rate_yoy_change,0.9934334656659386
randomforest,pastoral,0,ET0507,2021-10-01,ipc_lag1,0.996588021022433
randomforest,pastoral,0,ET0508,2021-10-01,ipc_lag1,0.9546621947372493
randomforest,pastoral,0,ET0509,2021-10-01,ipc_lag1,0.9525789978037152
randomforest,pastoral,0,ET0510,2021-10-01,ipc_lag1,0.9473903494414055
randomforest,pastoral,0,ET0511,2021-10-01,ipc_lag1,0.95980173917184
randomforest,pastoral,0,ET0201,2022-02-01,exchange_rate_yoy_change,0.9902863502984923
randomforest,pastoral,0,ET0202,2022-02-01,ipc_lag1,0.956711167721161
randomforest,pastoral,0,ET0203,2022-02-01,ipc_lag1,0.9330148026022106
randomforest,pastoral,0,ET0204,2022-02-01,ipc_lag1,0.9533215087107391
randomforest,pastoral,0,ET0205,2022-02-01,ipc_lag1,0.9945182160691859
randomforest,pastoral,0,ET0411,2022-02-01,ipc_lag1,0.9946759438370106
randomforest,pastoral,0,ET0412,2022-02-01,ipc_lag1,0.9516251912077186
randomforest,pastoral,0,ET0414,2022-02-01,ipc_lag1,0.996391605311557
randomforest,pastoral,0,ET0415,2022-02-01,ipc_lag1,0.9975849795549101
randomforest,pastoral,0,ET0421,2022-02-01,exchange_rate_yoy_change,0.9901955824321027
randomforest,pastoral,0,ET0501,2022-02-01,months_since_lean_start,0.9622212236103588
randomforest,pastoral,0,ET0503,2022-02-01,ipc_lag1,0.9629116545940444
randomforest,pastoral,0,ET0504,2022-02-01,ipc_lag1,0.9580280457827167
randomforest,pastoral,0,ET0505,2022-02-01,ipc_lag1,0.9616810804054498
randomforest,pastoral,0,ET0506,2022-02-01,ipc_lag1,0.9611840891370209
randomforest,pastoral,0,ET0507,2022-02-01,ipc_lag1,0.948519739778943
randomforest,pastoral,0,ET0508,2022-02-01,ipc_lag1,0.9475584931938981
randomforest,pastoral,0,ET0509,2022-02-01,ipc_lag1,0.9562677443738803
randomforest,pastoral,0,ET0510,2022-02-01,ipc_lag1,0.9591499961312056
randomforest,pastoral,0,ET0511,2022-02-01,ipc_lag1,0.9569581753575659
randomforest,pastoral,0,ET0201,2022-06-01,ipc_lag1,0.951757623012779
randomforest,pastoral,0,ET0202,2022-06-01,ipc_lag1,0.947106141859759
randomforest,pastoral,0,ET0203,2022-06-01,ipc_lag1,0.9455571361398956
randomforest,pastoral,0,ET0204,2022-06-01,ipc_lag1,0.9605725220372475
randomforest,pastoral,0,ET0205,2022-06-01,ipc_lag1,0.9947920076661647
randomforest,pastoral,0,ET0411,2022-06-01,ipc_lag1,0.9970463243478105
randomforest,pastoral,0,ET0412,2022-06-01,ipc_lag1,0.9392792733809096
randomforest,pastoral,0,ET0414,2022-06-01,exchange_rate_yoy_change,0.9970522763390492
randomforest,pastoral,0,ET0415,2022-06-01,ipc_lag1,0.9553541137187446
randomforest,pastoral,0,ET0421,2022-06-01,ipc_lag1,0.9406467433679938
randomforest,pastoral,0,ET0501,2022-06-01,months_since_lean_start,0.975863187529388
randomforest,pastoral,0,ET0503,2022-06-01,ipc_lag1,0.9616721524185915
