subject,cluster,lead,zone_code,time,top1_feature,rho
xgboost,pastoral,0,ET0201,2020-02-01,ipc_lag1,0.9910812592483501
xgboost,pastoral,0,ET0202,2020-02-01,ipc_lag1,0.9984448745730856
xgboost,pastoral,0,ET0203,2020-02-01,ipc_lag1,0.9922646974255397
xgboost,pastoral,0,ET0204,2020-02-01,ipc_lag1,0.9918333999565195
xgboost,pastoral,0,ET0205,2020-02-01,ipc_lag1,0.992233139074148
xgboost,pastoral,0,ET0411,2020-02-01,ipc_lag1,0.9922787233594915
xgboost,pastoral,0,ET0412,2020-02-01,ha_share_lag1,0.9968634505200114
xgboost,pastoral,0,ET0414,2020-02-01,ipc_lag1,0.9927713842895513
xgboost,pastoral,0,ET0415,2020-02-01,ipc_lag1,0.992348853029251
xgboost,pastoral,0,ET0421,2020-02-01,ipc_lag1,0.9908340521624484
xgboost,pastoral,0,ET0501,2020-02-01,ipc_lag1,0.9897523020064098
xgboost,pastoral,0,ET0503,2020-02-01,ipc_lag1,0.9991023402270798
xgboost,pastoral,0,ET0504,2020-02-01,ipc_lag1,0.9988446136907141
xgboost,pastoral,0,ET0505,2020-02-01,ipc_lag1,0.994628067296431
xgboost,pastoral,0,ET0506,2020-02-01,ipc_lag1,0.9984220824304137
xgboost,pastoral,0,ET0507,2020-02-01,ipc_lag1,0.9992268203909026
xgboost,pastoral,0,ET0508,2020-02-01,ipc_lag1,0.998981366546745
xgboost,pastoral,0,ET0509,2020-02-01,ipc_lag1,0.9989480549536092
xgboost,pastoral,0,ET0510,2020-02-01,ipc_lag1,0.9988919512178017
xgboost,pastoral,0,ET0511,2020-02-01,ipc_lag1,0.9991601972046312
xgboost,pastoral,0,ET0201,2020-06-01,ipc_lag1,0.9908813896895358
xgboost,pastoral,0,ET0202,2020-06-01,headline_cpi_yoy_change_lag3,0.9994863001690125
xgboost,pastoral,0,ET0203,2020-06-01,ha_share_lag1,0.999994740274768
xgboost,pastoral,0,ET0204,2020-06-01,headline_cpi_yoy_change_lag3,0.9989988989641846
xgboost,pastoral,0,ET0205,2020-06-01,ipc_lag1,0.9898294446431449
xgboost,pastoral,0,ET0411,2020-06-01,ipc_lag1,0.9864211426928389
xgboost,pastoral,0,ET0412,2020-06-01,ipc_lag1,0.9868875049967388
xgboost,pastoral,0,ET0414,2020-06-01,ipc_lag1,0.9913968427622674
xgboost,pastoral,0,ET0415,2020-06-01,ipc_lag1,0.990534247824227
xgboost,pastoral,0,ET0421,2020-06-01,ipc_lag1,0.9915265826513221
xgboost,pastoral,0,ET0501,2020-06-01,ipc_lag1,0.9913512584769237
xgboost,pastoral,0,ET0503,2020-06-01,ipc_lag1,0.9887634736628025
xgboost,pastoral,0,ET0504,2020-06-01,ipc_lag1,0.9965724123905099
xgboost,pastoral,0,ET0505,2020-06-01,ipc_lag1,0.9917457378693203
xgboost,pastoral,0,ET0506,2020-06-01,ha_share_lag1,0.999859740660481
xgboost,pastoral,0,ET0507,2020-06-01,ha_share_lag1,0.9999000652205928
xgboost,pastoral,0,ET0508,2020-06-01,ipc_lag1,0.9907849613936168
xgboost,pastoral,0,ET0509,2020-06-01,ipc_lag1,0.9914862580912106
xgboost,pastoral,0,ET0510,2020-06-01,ipc_lag1,0.9924908656105137
xgboost,pastoral,0,ET0511,2020-06-01,months_since_lean_start,0.9993355213790298
xgboost,pastoral,0,ET0201,2020-10-01,ha_share_lag1,0.9992408463248547
xgboost,pastoral,0,ET0202,2020-10-01,headline_cpi_yoy_change_lag12,0.9970492941448738
xgboost,pastoral,0,ET0203,2020-10-01,ha_share_lag1,0.9996984424200347
xgboost,pastoral,0,ET0204,2020-10-01,headline_cpi_yoy_change_lag12,0.996667087444685
xgboost,pastoral,0,ET0205,2020-10-01,headline_cpi_yoy_change_lag12,0.998495718583661
xgboost,pastoral,0,ET0411,2020-10-01,headline_cpi_yoy_change_lag12,0.9992601319840384
xgboost,pastoral,0,ET0412,2020-10-01,ha_share_lag1,0.9994179237409971
xgboost,pastoral,0,ET0414,2020-10-01,headline_cpi_yoy_change_lag12,0.9984781861662213
xgboost,pastoral,0,ET0415,2020-10-01,ipc_lag1,0.99315359098974
xgboost,pastoral,0,ET0421,2020-10-01,headline_cpi_yoy_change_lag12,0.9984378616061095
xgboost,pastoral,0,ET0501,2020-10-01,ipc_lag1,0.9914021024874994
xgboost,pastoral,0,ET0503,2020-10-01,headline_cpi_yoy_change_lag12,0.997705006557124
xgboost,pastoral,0,ET0504,2020-10-01,ipc_lag1,0.9993250019285659
xgboost,pastoral,0,ET0505,2020-10-01,headline_cpi_yoy_change_lag12,0.9981205248504483
xgboost,pastoral,0,ET0506,2020-10-01,ipc_lag1,0.999314482478102
xgboost,pastoral,0,ET0507,2020-10-01,ipc_lag1,0.9990024054476726
xgboost,pastoral,0,ET0508,2020-10-01,headline_cpi_yoy_change_lag12,0.9974683189216861
xgboost,pastoral,0,ET0509,2020-10-01,headline_cpi_yoy_change_lag12,0.9978961099072183
xgboost,pastoral,0,ET0510,2020-10-01,ipc_lag1,0.9993916251148371
xgboost,pastoral,0,ET0511,2020-10-01,ipc_lag1,0.9992636384675264
xgboost,pastoral,0,ET0201,2021-02-01,ha_share_lag1,0.9990409767660404
xgboost,pastoral,0,ET0202,2021-02-01,ipc_lag1,0.9940144326860364
xgboost,pastoral,0,ET0203,2021-02-01,headline_cpi_yoy_change_lag12,0.9990129248981365
xgboost,pastoral,0,ET0204,2021-02-01,ipc_lag1,0.9909252207331355
xgboost,pastoral,0,ET0205,2021-02-01,headline_cpi_yoy_change_lag12,0.999088314293128
xgboost,pastoral,0,ET0411,2021-02-01,headline_cpi_yoy_change_lag12,0.9995108455534283
xgboost,pastoral,0,ET0412,2021-02-01,ipc_lag1,0.9894086666245888
xgboost,pastoral,0,ET0414,2021-02-01,headline_cpi_yoy_change_lag12,0.9993635732469335
xgboost,pastoral,0,ET0415,2021-02-01,headline_cpi_yoy_change_lag12,0.9958430638250124
xgboost,pastoral,0,ET0421,2021-02-01,headline_cpi_yoy_change_lag12,0.9985798741873723
xgboost,pastoral,0,ET0501,2021-02-01,headline_cpi_yoy_change_lag12,0.9974858513391259
xgboost,pastoral,0,ET0503,2021-02-01,ipc_lag1,0.9956011164643425
xgboost,pastoral,0,ET0504,2021-02-01,ipc_lag1,0.9948279368552454
xgboost,pastoral,0,ET0505,2021-02-01,ipc_lag1,0.9956467007496861
xgboost,pastoral,0,ET0506,2021-02-01,ipc_lag1,0.9941476790585793
xgboost,pastoral,0,ET0507,2021-02-01,ipc_lag1,0.9976822144144523
