[xgboost] pastoral lead=0: n=180, 4.3s
[xgboost] pastoral lead=1: n=180, 4.7s
[xgboost] pastoral lead=2: n=180, 4.6s
[xgboost] pastoral lead=3: n=180, 4.7s
[xgboost] pastoral lead=4: n=180, 4.3s
[xgboost] pastoral lead=8: n=180, 4.4s
[xgboost] pastoral lead=12: n=180, 4.7s
[xgboost] agropastoral lead=0: n=45, 1.2s
[xgboost] agropastoral lead=1: n=45, 1.2s
[xgboost] agropastoral lead=2: n=45, 1.3s
[xgboost] agropastoral lead=3: n=45, 1.3s
[xgboost] agropastoral lead=4: n=45, 1.3s
[xgboost] agropastoral lead=8: n=45, 1.3s
[xgboost] agropastoral lead=12: n=45, 1.2s
[xgboost] crop_farming lead=0: n=603, 17.5s
[xgboost] crop_farming lead=1: n=603, 18.0s
[xgboost] crop_farming lead=2: n=603, 18.5s
[xgboost] crop_farming lead=3: n=603, 17.4s
[xgboost] crop_farming lead=4: n=603, 18.2s
[xgboost] crop_farming lead=8: n=603, 18.3s
[xgboost] crop_farming lead=12: n=603, 17.9s
[xgboost] TOTAL: 175.2s (5796 rows)
[randomforest] pastoral lead=0: n=180, 1.5s
[randomforest] pastoral lead=1: n=180, 1.7s
[randomforest] pastoral lead=2: n=180, 1.5s
[randomforest] pastoral lead=3: n=180, 1.7s
[randomforest] pastoral lead=4: n=180, 1.5s
[randomforest] pastoral lead=8: n=180, 1.5s
[randomforest] pastoral lead=12: n=180, 1.5s
[randomforest] agropastoral lead=0: n=45, 0.2s
[randomforest] agropastoral lead=1: n=45, 0.2s
[randomforest] agropastoral lead=2: n=45, 0.2s
[randomforest] agropastoral lead=3: n=45, 0.2s
[randomforest] agropastoral lead=4: n=45, 0.2s
[randomforest] agropastoral lead=8: n=45, 0.2s
[randomforest] agropastoral lead=12: n=45, 0.2s
[randomforest] crop_farming lead=0: n=603, 7.8s
[randomforest] crop_farming lead=1: n=603, 7.9s
[randomforest] crop_farming lead=2: n=603, 7.8s
[randomforest] crop_farming lead=3: n=603, 7.0s
[randomforest] crop_farming lead=4: n=603, 7.0s
[randomforest] crop_farming lead=8: n=603, 6.9s
[randomforest] crop_farming lead=12: n=603, 7.2s
[randomforest] TOTAL: 99.1s (5796 rows)

Done. Wrote local_stability_xgboost.csv, local_stability_randomforest.csv
