pcode,year,month,ndvi_ref
ET0101,1981,8,0.4807284529172042
ET0101,1981,9,0.4757917485446202
ET0101,1981,10,0.42185079794287517
ET0101,1981,11,0.30855022684856726
ET0101,1981,12,0.21687129731099036
ET0101,1982,1,0.16433275202249706
ET0101,1982,2,0.13450035991350023
ET0101,1982,3,0.11884385230391165
ET0101,1982,4,0.1091524094153496
ET0101,1982,5,0.10227864681409812
ET0101,1982,6,0.1389119585625606
ET0101,1982,7,0.22149930297906867
ET0101,1982,8,0.3412415990566432
ET0101,1982,9,0.42949436212951764
ET0101,1982,10,0.3714303562715333
ET0101,1982,11,0.26309902173542066
ET0101,1982,12,0.19874470511285386
ET0101,1983,1,0.1665196684854371
ET0101,1983,2,0.14354067140876658
ET0101,1983,3,0.12263897272114033
ET0101,1983,4,0.1135933573820129
ET0101,1983,5,0.10776803863815743
ET0101,1983,6,0.15090028974300057
ET0101,1983,7,0.24864640515798223
ET0101,1983,8,0.3538565935390505
ET0101,1983,9,0.3959915322874695
ET0101,1983,10,0.31843792095970064
ET0101,1983,11,0.224234451340904
ET0101,1983,12,0.18780092790701772
ET0101,1984,1,0.1682206586298376
ET0101,1984,2,0.1514466121118342
ET0101,1984,3,0.12672454600329108
ET0101,1984,4,0.10342235244610354
ET0101,1984,5,0.0926036108364226
ET0101,1984,6,0.11332037313571239
ET0101,1984,7,0.23305517353928917
ET0101,1984,8,0.3811492404809599
ET0101,1984,9,0.39393247956939603
ET0101,1984,10,0.30282321100187776
ET0101,1984,11,0.2106474642095168
ET0101,1984,12,0.1845148601891971
ET0101,1985,1,
ET0101,1985,2,
ET0101,1985,3,0.12410219800902222
ET0101,1985,4,0.1142404574737522
ET0101,1985,5,0.10893246607362297
ET0101,1985,6,0.15314392515759825
ET0101,1985,7,0.2483745517559571
ET0101,1985,8,0.3398454897053002
ET0101,1985,9,0.37997286211398906
ET0101,1985,10,0.3137422345441673
ET0101,1985,11,0.22908876541227396
ET0101,1985,12,0.1803414508215609
ET0101,1986,1,0.1603415915176083
ET0101,1986,2,0.139923981036543
ET0101,1986,3,0.12282886008351325
ET0101,1986,4,0.1141966105013285
ET0101,1986,5,0.11237836429978361
ET0101,1986,6,0.14119265147891882
ET0101,1986,7,0.27808593901709416
ET0101,1986,8,0.3836800046317817
ET0101,1986,9,0.42078134853819643
ET0101,1986,10,0.3261050355780074
ET0101,1986,11,0.22754951585426697
ET0101,1986,12,0.17111033364561357
ET0101,1987,1,0.14045085516116745
ET0101,1987,2,0.11614498394360975
ET0101,1987,3,0.10185403583368453
ET0101,1987,4,0.09551980637825362
ET0101,1987,5,0.11321252280954255
ET0101,1987,6,0.21023537088949576
ET0101,1987,7,0.299289971410891
ET0101,1987,8,0.34669025684937393
ET0101,1987,9,0.37279457155262063
ET0101,1987,10,0.30440842930380324
ET0101,1987,11,0.20887129679006095
ET0101,1987,12,0.14869767290446512
ET0101,1988,1,0.13240948286239465
ET0101,1988,2,0.1223960452867195
ET0101,1988,3,0.10676414923165442
ET0101,1988,4,0.08977935353064809
ET0101,1988,5,0.07657991857643344
ET0101,1988,6,0.10959724703595528
ET0101,1988,7,0.17623338850460094
ET0101,1988,8,0.2897004381749552
ET0101,1988,9,0.3667938644343084
ET0101,1988,10,0.382570880179358
ET0101,1988,11,0.3164292925275872
ET0101,1988,12,0.2577652164024882
ET0101,1989,1,0.20672476297979478
ET0101,1989,2,0.16898480305366503
ET0101,1989,3,0.14786351455278074
ET0101,1989,4,0.13227758715732768
ET0101,1989,5,0.1363343769286613
ET0101,1989,6,0.2020912399302109
ET0101,1989,7,0.31358021213192244
ET0101,1989,8,0.39610999070181707
ET0101,1989,9,0.4029264696248013
ET0101,1989,10,0.32396889746694957
ET0101,1989,11,0.23153890734683338
ET0101,1989,12,0.17029774473529558
ET0101,1990,1,0.1333881255550128
ET0101,1990,2,0.11789109467237639
ET0101,1990,3,0.11011492711777734
ET0101,1990,4,0.0995202308686653
ET0101,1990,5,0.10280481346552242
ET0101,1990,6,0.1419098365108734
ET0101,1990,7,0.26584131349684326
ET0101,1990,8,0.37522597143049796
ET0101,1990,9,0.38148092317277676
ET0101,1990,10,0.30211062231950747
ET0101,1990,11,0.22053713918448845
ET0101,1990,12,0.17943105493610279
ET0101,1991,1,0.1534773761556712
ET0101,1991,2,0.13690594679648332
ET0101,1991,3,0.1217800615700502
ET0101,1991,4,0.10797652509458669
ET0101,1991,5,0.10533168820777575
ET0101,1991,6,0.11256789774903989
ET0101,1991,7,0.13840113803638934
ET0101,1991,8,0.22392822803120635
ET0101,1991,9,0.28160906624170134
ET0101,1991,10,0.23143282593814118
ET0101,1991,11,0.16670898891869496
ET0101,1991,12,0.13009194346853495
ET0101,1992,1,0.1126099769790068
ET0101,1992,2,0.10541407847210577
ET0101,1992,3,0.09526676540243237
ET0101,1992,4,0.08540028684589449
ET0101,1992,5,0.07797171480563776
ET0101,1992,6,0.10675163129726598
ET0101,1992,7,0.21703890694207822
ET0101,1992,8,0.3402730003315455
ET0101,1992,9,0.41094273459456093
ET0101,1992,10,0.3381106943692986
ET0101,1992,11,0.24370835677231895
ET0101,1992,12,0.18632143725347317
ET0101,1993,1,0.16633381249838872
ET0101,1993,2,0.14427193043466335
ET0101,1993,3,0.11767016125703297
ET0101,1993,4,0.1054851531118281
ET0101,1993,5,0.13152673891106625
ET0101,1993,6,0.23025460764660355
ET0101,1993,7,0.31407922133276456
ET0101,1993,8,0.3673485316641766
ET0101,1993,9,0.36319945084492256
ET0101,1993,10,0.30213685978672966
ET0101,1993,11,0.20651542664080058
ET0101,1993,12,0.16014710760542325
ET0101,1994,1,0.13516803929395185
ET0101,1994,2,0.11370297566140558
ET0101,1994,3,0.10744661000021108
ET0101,1994,4,0.10186846295037061
ET0101,1994,5,0.10997115088234191
ET0101,1994,6,0.15547313304062105
ET0101,1994,7,0.21465064651600207
ET0101,1994,8,0.21812165081711776
ET0101,1994,9,0.21331542740869724
ET0101,1994,10,
ET0101,1994,11,
ET0101,1994,12,
ET0101,1995,1,0.16065276541669435
ET0101,1995,2,0.1516067964121004
ET0101,1995,3,0.13782497106549427
ET0101,1995,4,0.12901627175415084
ET0101,1995,5,0.15274116695137982
ET0101,1995,6,0.22059477724482685
ET0101,1995,7,0.325326182295949
ET0101,1995,8,0.401978448560248
ET0101,1995,9,0.41402441844913207
ET0101,1995,10,0.3225850229173941
ET0101,1995,11,0.23184937433651853
ET0101,1995,12,0.18266478855336743
ET0101,1996,1,0.15593154871733556
ET0101,1996,2,0.1382050981594953
