pcode,year,month,ndvi_ref
ET0101,1981,8,0.48545456474477594
ET0101,1981,9,0.49690910361029883
ET0101,1981,10,0.45840911160815845
ET0101,1981,11,0.3718545572324233
ET0101,1981,12,0.28404546596787195
ET0101,1982,1,0.22563636844808405
ET0101,1982,2,0.18452273512428455
ET0101,1982,3,0.1611090966246345
ET0101,1982,4,0.1556136438792402
ET0101,1982,5,0.15505455095659604
ET0101,1982,6,0.18634091724048962
ET0101,1982,7,0.2287500134923241
ET0101,1982,8,0.3098909258842468
ET0101,1982,9,0.42356819727204065
ET0101,1982,10,0.39600001681934704
ET0101,1982,11,0.31207273765043786
ET0101,1982,12,0.257954555478963
ET0101,1983,1,0.2198909209533171
ET0101,1983,2,0.19434091719714078
ET0101,1983,3,0.17172728275710886
ET0101,1983,4,0.16956818984313443
ET0101,1983,5,0.165727283466946
ET0101,1983,6,0.21768182516098022
ET0101,1983,7,0.27900001271204516
ET0101,1983,8,0.3263636502352628
ET0101,1983,9,0.3824772902510383
ET0101,1983,10,0.3628545620224693
ET0101,1983,11,0.28731820122762164
ET0101,1983,12,0.2499545582316139
ET0101,1984,1,0.2281818295067007
ET0101,1984,2,0.2017954615029422
ET0101,1984,3,0.15893181955272503
ET0101,1984,4,0.12010909481482074
ET0101,1984,5,0.12295454875989394
ET0101,1984,6,0.16963637281547894
ET0101,1984,7,0.2661272883415222
ET0101,1984,8,0.3813181980089708
ET0101,1984,9,0.42331820049069147
ET0101,1984,10,0.3605818314985796
ET0101,1984,11,0.2525681934573434
ET0101,1984,12,0.21727273545481945
ET0101,1985,1,
ET0101,1985,2,
ET0101,1985,3,0.14784091643311761
ET0101,1985,4,0.13183636827902362
ET0101,1985,5,0.13250000232999976
ET0101,1985,6,0.1897727372971448
ET0101,1985,7,0.2642545591701161
ET0101,1985,8,0.3362500166351145
ET0101,1985,9,0.41150911558758124
ET0101,1985,10,0.3737954754721035
ET0101,1985,11,0.2916363789276643
ET0101,1985,12,0.22992728515104816
ET0101,1986,1,0.17979546365412802
ET0101,1986,2,0.1479318229989572
ET0101,1986,3,0.13550910014997827
ET0101,1986,4,0.14011364294724032
ET0101,1986,5,0.14275000312111596
ET0101,1986,6,0.16454545882615176
ET0101,1986,7,0.2966136553070762
ET0101,1986,8,0.39570455659519543
ET0101,1986,9,0.44270910729061475
ET0101,1986,10,0.3787272870540619
ET0101,1986,11,0.3098636472767049
ET0101,1986,12,0.2583636445077983
ET0101,1987,1,0.21109092032367532
ET0101,1987,2,0.1697727374055169
ET0101,1987,3,0.14756364104422656
ET0101,1987,4,0.1262954581867565
ET0101,1987,5,0.13306818834759973
ET0101,1987,6,0.2449272884563966
ET0101,1987,7,0.34090910581025213
ET0101,1987,8,0.3706727434288372
ET0101,1987,9,0.40015911378643737
ET0101,1987,10,0.3553636534647508
ET0101,1987,11,0.27943637425249274
ET0101,1987,12,0.20684091746807098
ET0101,1988,1,0.18365910039706665
ET0101,1988,2,0.16949091242118317
ET0101,1988,3,0.14120455424893985
ET0101,1988,4,0.11700000478462741
ET0101,1988,5,0.10307273133234546
ET0101,1988,6,0.13954546234824441
ET0101,1988,7,0.16734091802076861
ET0101,1988,8,0.2614000114527616
ET0101,1988,9,0.37722729281945666
ET0101,1988,10,0.4198000187223608
ET0101,1988,11,0.37472729520364245
ET0101,1988,12,0.319795467636802
ET0101,1989,1,0.2640545584938743
ET0101,1989,2,0.22061365030028604
ET0101,1989,3,0.19331819089976224
ET0101,1989,4,0.16795455596663736
ET0101,1989,5,0.17036364498463544
ET0101,1989,6,0.23734092102809384
ET0101,1989,7,0.31525456092574383
ET0101,1989,8,0.384613652120937
ET0101,1989,9,0.4380227489904924
ET0101,1989,10,0.3982727446339347
ET0101,1989,11,0.31706819480115717
ET0101,1989,12,0.25240910188718274
ET0101,1990,1,0.20098182829943573
ET0101,1990,2,0.1769545559178699
ET0101,1990,3,0.16086364469744943
ET0101,1990,4,0.140327280217951
ET0101,1990,5,0.14306818626143716
ET0101,1990,6,0.1727045544169166
ET0101,1990,7,0.27878182990984485
ET0101,1990,8,0.3888182016936215
ET0101,1990,9,0.43125001950697467
ET0101,1990,10,0.40063638172366406
ET0101,1990,11,0.31870456446300854
ET0101,1990,12,0.26438637484203686
ET0101,1991,1,0.2244772789153186
ET0101,1991,2,0.19693182612007318
ET0101,1991,3,0.17402273484251718
ET0101,1991,4,0.15412728014317423
ET0101,1991,5,0.15527273917740042
ET0101,1991,6,0.15877273949709808
ET0101,1991,7,0.17318182574077087
ET0101,1991,8,0.24320455572821875
ET0101,1991,9,0.3280000131238591
ET0101,1991,10,0.31677274541421374
ET0101,1991,11,0.25061365216970444
ET0101,1991,12,0.19756364348259844
ET0101,1992,1,0.16595455191352154
ET0101,1992,2,0.15320455689321866
ET0101,1992,3,0.13196364451538434
ET0101,1992,4,0.11484091119332747
ET0101,1992,5,0.11129545962268655
ET0101,1992,6,0.13987273181026633
ET0101,1992,7,0.20286364446986807
ET0101,1992,8,0.2931454696438529
ET0101,1992,9,0.41477274081923743
ET0101,1992,10,0.38077274777672504
ET0101,1992,11,0.31501819735223596
ET0101,1992,12,0.25156819549473847
ET0101,1993,1,0.22806819325143643
ET0101,1993,2,0.1975227391177958
ET0101,1993,3,0.1512363708832047
ET0101,1993,4,0.1326136426492171
ET0101,1993,5,0.16074546561999756
ET0101,1993,6,0.2573863769119436
ET0101,1993,7,0.3100909157232805
ET0101,1993,8,0.3435454693707553
ET0101,1993,9,0.36984093351797626
ET0101,1993,10,0.35522729022936395
ET0101,1993,11,0.27492728287523444
ET0101,1993,12,0.23102273588830774
ET0101,1994,1,0.19276363876732913
ET0101,1994,2,0.1605000069195574
ET0101,1994,3,0.14938637004657224
ET0101,1994,4,0.13893182507970114
ET0101,1994,5,0.15683637288483707
ET0101,1994,6,0.1996136483821002
ET0101,1994,7,0.20513637363910675
ET0101,1994,8,0.17983637005090714
ET0101,1994,9,0.1683636477047747
ET0101,1994,10,
ET0101,1994,11,
ET0101,1994,12,
ET0101,1995,1,0.2074090973897414
ET0101,1995,2,0.19625001332976602
ET0101,1995,3,0.1777954629876397
ET0101,1995,4,0.16645455292680045
ET0101,1995,5,0.19572728330438785
ET0101,1995,6,0.2622500129721382
ET0101,1995,7,0.3383818350055001
ET0101,1995,8,0.41188638589598914
ET0101,1995,9,0.44068184224042023
ET0101,1995,10,0.38290911371057684
ET0101,1995,11,0.3039545633576133
ET0101,1995,12,0.24695455621589313
ET0101,1996,1,0.21320000968196173
ET0101,1996,2,0.18788637153126975
ET0101,1996,3,0.1773636435920542
ET0101,1996,4,0.18518182973970065
ET0101,1996,5,0.23436364666982132
ET0101,1996,6,0.2963636476885189
ET0101,1996,7,0.3309454646977511
ET0101,1996,8,0.3609772947701541
ET0101,1996,9,0.41369092464447027
ET0101,1996,10,0.36540910601615906
ET0101,1996,11,0.27993183108893305
ET0101,1996,12,0.22245455939661374
ET0101,1997,1,0.19213637167757208
ET0101,1997,2,0.17254546487873254
ET0101,1997,3,0.15403637222268363
ET0101,1997,4,0.16079546240243045
ET0101,1997,5,0.20790910043499689
ET0101,1997,6,0.2950545603578741
ET0101,1997,7,0.363954563032497
ET0101,1997,8,0.4451363872398029
ET0101,1997,9,0.4480909298766743
ET0101,1997,10,0.376409105279229
ET0101,1997,11,0.30956819382580847
ET0101,1997,12,0.2504000094803897
ET0101,1998,1,0.21522728286006235
ET0101,1998,2,0.1968181912194599
ET0101,1998,3,0.16834546286951413
ET0101,1998,4,0.15263637155294418
ET0101,1998,5,0.15959091620011764
ET0101,1998,6,0.17987274039875376
ET0101,1998,7,0.22122728147289972
ET0101,1998,8,0.2989454675804485
ET0101,1998,9,0.4161136529662393
ET0101,1998,10,0.4271136603572152
ET0101,1998,11,0.35521819781173364
ET0101,1998,12,0.2817272801290859
ET0101,1999,1,0.2414318309588866
ET0101,1999,2,0.21804546497084878
ET0101,1999,3,0.18601818924600427
ET0101,1999,4,0.15279546176845377
ET0101,1999,5,0.14923637292601843
ET0101,1999,6,0.1820227354764939
ET0101,1999,7,0.2307954660870812
ET0101,1999,8,0.31947274099696765
ET0101,1999,9,0.413818202235482
ET0101,1999,10,0.41440910642797296
ET0101,1999,11,0.34858183427290484
ET0101,1999,12,0.27493182637474756
ET0101,2000,1,0.2180727395144376
ET0101,2000,2,0.179295462640849
ET0101,2000,3,0.15190909599716015
ET0101,2000,4,0.12152273140170357
ET0101,2000,5,0.13870909742333673
ET0101,2000,6,0.16743182187730618
ET0101,2000,7,0.16660000587051566
ET0101,2000,8,0.2026590962301601
ET0101,2000,9,0.3314318399537694
ET0101,2000,10,0.3476727361028845
ET0101,2000,11,0.2703181965784593
ET0101,2000,12,0.22947728227485312
ET0101,2001,1,0.22476364943114194
ET0101,2001,2,0.19052273780107498
ET0101,2001,3,0.16327273303812198
ET0101,2001,4,0.15461819009347397
ET0101,2001,5,0.165227279744365
ET0101,2001,6,0.2268181917342273
ET0101,2001,7,0.28680001199245453
ET0101,2001,8,0.36520455913110217
ET0101,2001,9,0.43693184581669897
ET0101,2001,10,0.39352727749130945
ET0101,2001,11,0.31234092062169855
ET0101,2001,12,0.2532045543193817
ET0101,2002,1,0.21795455298640515
ET0101,2002,2,0.19015910070050848
ET0101,2002,3,0.16529546407136053
ET0101,2002,4,0.15805455771359533
ET0101,2002,5,0.15450000898404553
ET0101,2002,6,0.17140909826213663
ET0101,2002,7,0.2654909234155308
ET0101,2002,8,0.3818182051181794
ET0101,2002,9,0.4496000219475139
ET0101,2002,10,0.3902045596729625
ET0101,2002,11,0.2989545572887768
ET0101,2002,12,0.24341819232160394
ET0101,2003,1,0.21652274240146988
ET0101,2003,2,0.18343182585456153
ET0101,2003,3,0.1604909145019271
ET0101,2003,4,0.14415909688581122
ET0101,2003,5,0.130136368626898
ET0101,2003,6,0.15781819075345993
ET0101,2003,7,0.25452274490486493
ET0101,2003,8,0.3511136472225189
ET0101,2003,9,0.4320182041688399
ET0101,2003,10,0.4040909246964889
ET0101,2003,11,0.3316363787109202
ET0101,2003,12,0.27412728423422034
ET0101,2004,1,0.2541818320751191
ET0101,2004,2,0.20943182842297992
ET0101,2004,3,0.20104546980424362
ET0101,2004,4,
ET0101,2004,5,
ET0101,2004,6,0.20613637295636267
ET0101,2004,7,0.2690303176641464
ET0101,2004,8,0.36467274210669776
ET0101,2004,9,0.4140000207857652
ET0101,2004,10,0.38820455832914885
ET0101,2004,11,0.3047272874550386
ET0101,2004,12,0.23720455237410287
ET0101,2005,1,0.21100000562992963
ET0101,2005,2,0.18961364504965866
ET0101,2005,3,0.16679546507922088
ET0101,2005,4,0.14452273534102872
ET0101,2005,5,0.13985455171628433
ET0101,2005,6,0.19393183020028198
ET0101,2005,7,0.29395455934784626
ET0101,2005,8,0.3829091164198789
ET0101,2005,9,0.4199545654383573
ET0101,2005,10,0.37327274680137634
ET0101,2005,11,0.3002272925593636
ET0101,2005,12,0.2505681948228316
ET0101,2006,1,0.2080909176306291
ET0101,2006,2,0.18061364509842615
ET0101,2006,3,0.16479546576738358
ET0101,2006,4,0.15488636832345618
