pcode,year,month,ndvi_ref
ET0101,1981,8,0.4621428762163434
ET0101,1981,9,0.45766073678221014
ET0101,1981,10,0.4065714542354856
ET0101,1981,11,0.28890000709465574
ET0101,1981,12,0.19385715254715513
ET0101,1982,1,0.14421429485082626
ET0101,1982,2,0.1209642897759165
ET0101,1982,3,0.11327143066695756
ET0101,1982,4,0.10833929053374698
ET0101,1982,5,0.09877143268074307
ET0101,1982,6,0.12519643615399087
ET0101,1982,7,0.20880358346870967
ET0101,1982,8,0.3283857309392521
ET0101,1982,9,0.402000011077949
ET0101,1982,10,0.3454643008964402
ET0101,1982,11,0.24241429673773898
ET0101,1982,12,0.18044643795916013
ET0101,1983,1,0.15140000624316077
ET0101,1983,2,0.1285714374056884
ET0101,1983,3,0.10719643373574528
ET0101,1983,4,0.0972678613449846
ET0101,1983,5,0.0896571459514754
ET0101,1983,6,0.12326786401016371
ET0101,1983,7,0.23142858275345396
ET0101,1983,8,0.34607144977365223
ET0101,1983,9,0.38083930420024054
ET0101,1983,10,0.3032000139355659
ET0101,1983,11,0.21455358288117815
ET0101,1983,12,0.1808750107884407
ET0101,1984,1,0.1651857207928385
ET0101,1984,2,0.15298214608005115
ET0101,1984,3,0.13103572172777994
ET0101,1984,4,0.11137143362845692
ET0101,1984,5,0.0967142895928451
ET0101,1984,6,0.10928571916052272
ET0101,1984,7,0.23398572206497192
ET0101,1984,8,0.3778035917452403
ET0101,1984,9,0.3709464509572302
ET0101,1984,10,0.28588572038071497
ET0101,1984,11,0.20760715007781982
ET0101,1984,12,0.18600000866821836
ET0101,1985,1,
ET0101,1985,2,
ET0101,1985,3,0.13471429156405582
ET0101,1985,4,0.11327143386006355
ET0101,1985,5,0.10164286249450273
ET0101,1985,6,0.14069643669894763
ET0101,1985,7,0.24007143612418855
ET0101,1985,8,0.3258392970476831
ET0101,1985,9,0.3545142976301056
ET0101,1985,10,0.2888571534837995
ET0101,1985,11,0.20848215264933448
ET0101,1985,12,0.16804286358611922
ET0101,1986,1,0.16196429463369505
ET0101,1986,2,0.141803574349199
ET0101,1986,3,0.12045714844550405
ET0101,1986,4,0.10719643320356097
ET0101,1986,5,0.10335714795759744
ET0101,1986,6,0.13248571806720322
ET0101,1986,7,0.2674821476851191
ET0101,1986,8,0.37146430249725065
ET0101,1986,9,0.40424287638493944
ET0101,1986,10,0.2990893040384565
ET0101,1986,11,0.2048035796199526
ET0101,1986,12,0.15280000865459442
ET0101,1987,1,0.1280000050153051
ET0101,1987,2,0.10680357579674038
ET0101,1987,3,0.09381428999560221
ET0101,1987,4,0.08925000418509757
ET0101,1987,5,0.0981428628521306
ET0101,1987,6,0.1788428643984454
ET0101,1987,7,0.2703571511166436
ET0101,1987,8,0.32831429690122604
ET0101,1987,9,0.3487857260874339
ET0101,1987,10,0.2782321572303772
ET0101,1987,11,0.1887428643448012
ET0101,1987,12,0.13723214928592953
ET0101,1988,1,0.12382143363356589
ET0101,1988,2,0.11387143177645545
ET0101,1988,3,0.09955357440880368
ET0101,1988,4,0.08675000444054602
ET0101,1988,5,0.07388571703008243
ET0101,1988,6,0.10335714848978178
ET0101,1988,7,0.17141071919883996
ET0101,1988,8,0.3028000210012709
ET0101,1988,9,0.36857144747461595
ET0101,1988,10,0.3608571546418326
ET0101,1988,11,0.29191072285175323
ET0101,1988,12,0.23071429346288952
ET0101,1989,1,0.1850428655743599
ET0101,1989,2,0.1498035809823445
ET0101,1989,3,0.13235714925186973
ET0101,1989,4,0.12005357657160075
ET0101,1989,5,0.11778571988855091
ET0101,1989,6,0.17162500587957247
ET0101,1989,7,0.2923142995153154
ET0101,1989,8,0.3813928791454859
ET0101,1989,9,0.38980358839035034
ET0101,1989,10,0.31012858237539015
ET0101,1989,11,0.21596429922751015
ET0101,1989,12,0.15692857759339468
ET0101,1990,1,0.12365715099232534
ET0101,1990,2,0.10880357665675026
ET0101,1990,3,0.10276786237955092
ET0101,1990,4,0.09545714567814555
ET0101,1990,5,0.0966250044958932
ET0101,1990,6,0.13108928820916585
ET0101,1990,7,0.2554285888160978
ET0101,1990,8,0.3648214478577886
ET0101,1990,9,0.3600357291953904
ET0101,1990,10,0.27695715853146147
ET0101,1990,11,0.20128572412899565
ET0101,1990,12,0.16514286505324502
ET0101,1991,1,0.14425000548362732
ET0101,1991,2,0.12764286303094455
ET0101,1991,3,0.11371429158108573
ET0101,1991,4,0.10264286079577035
ET0101,1991,5,0.09373214681233678
ET0101,1991,6,0.09458928874560764
ET0101,1991,7,0.12598571979573794
ET0101,1991,8,0.2270000108650752
ET0101,1991,9,0.2846428677439689
ET0101,1991,10,0.2234464372907366
ET0101,1991,11,0.15937501032437595
ET0101,1991,12,0.12671429131712234
ET0101,1992,1,0.11128571948834827
ET0101,1992,2,0.10292857725705419
ET0101,1992,3,0.09272857542548861
