Country;Admin 1;Admin 2;Market Name;Commodity;Price Type;Price Date;Collection Frequency;Price;Unit;Currency;Data Source;Trend;Pewi;ALPS Phase;Data Type;Upper (95%) CI;Lower (95%) CI;Forecast Methodology
Ethiopia;Afar;ZONE2;Abaala;Maize (white);Retail;15-1-2020;Monthly;1200;100 KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Maize (white);Retail;15-2-2020;Monthly;1200;100 KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Maize (white);Retail;15-2-2023;Monthly;6400;100 KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-5-2011;Monthly;4,2;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-6-2011;Monthly;4,1;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-7-2011;Monthly;5;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-9-2011;Monthly;6,2;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-1-2012;Monthly;9;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-2-2012;Monthly;9;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-3-2012;Monthly;8;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-12-2013;Monthly;13,5;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-1-2014;Monthly;10;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-2-2014;Monthly;10;KG;ETB;WFP;;;;Aggregated;;;
Ethiopia;Afar;ZONE2;Abaala;Sorghum;Retail;15-3-2014;Monthly;10;KG;ETB;WFP;;;;Aggregated;;;
