Country;Admin 1;Admin 2;Market Name;Commodity;Price Type;Price Date;Collection Frequency;Price;Unit;Currency;Data Source;Trend;Pewi;ALPS Phase;Data Type;Upper (95%) CI;Lower (95%) CI;Forecast Methodology
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-1-2000;Monthly;120,75;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;101,6304;0,7232;Stress;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-2-2000;Monthly;125;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;99,6637;0,9583;Stress;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-3-2000;Monthly;130,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;100,1971;1,1461;Alert;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-4-2000;Monthly;132,75;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;97,3304;1,3397;Alert;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-5-2000;Monthly;125;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;96,9471;1,061;Alert;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-6-2000;Monthly;128,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;107,2471;0,8038;Stress;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-7-2000;Monthly;125,33;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;105,6904;0,7428;Stress;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-8-2000;Monthly;125,75;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;113,7304;0,4546;Stress;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-9-2000;Monthly;115,25;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;109,4137;0,2207;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-10-2000;Monthly;99;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;104,1637;-0,1953;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-11-2000;Monthly;88;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;100,0304;-0,455;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-12-2000;Monthly;83,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;104,3304;-0,7879;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-1-2001;Monthly;76,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;85,2167;-0,3297;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-2-2001;Monthly;75,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;83,25;-0,2931;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-3-2001;Monthly;69,6;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;83,7833;-0,5365;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-4-2001;Monthly;58;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;80,9167;-0,8668;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-5-2001;Monthly;58,4;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;80,5333;-0,8371;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-6-2001;Monthly;53,5;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;90,8333;-1,4121;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-7-2001;Monthly;52,25;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;89,2767;-1,4005;Normal;Aggregated;;;
Ethiopia;Addis Ababa;AA ZONE1;Addis Ababa;Maize (white);Wholesale;15-8-2001;Monthly;59,4;100 KG;ETB;Ethiopian Grain Trade Enterprise via FAO: GIEWS/FPMA;97,3167;-1,4341;Normal;Aggregated;;;
